index,build,test_index,SIZE,RATE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,GPU-POWER,run_index
0,CL,0,64,100,23055804.0,15493.5032832,0.54196114470039,0.00048098225308641996,15.0,464.46000000000004,0
1,CL,0,64,100,23046144.0,15487.0127232,0.54216662489256,0.00049325308641975,15.0,475.56999999999994,1
2,CL,0,64,100,23040258.0,15483.0555744,0.54232746297606,0.00048997916666667,15.0,481.05,2
3,CL,1,64,15,21753783.0,14618.5504448,0.0017616874270088,0.00021290393518519,15.0,428.06000000000006,0
4,CL,1,64,15,21759431.0,14622.3465632,0.0017631451844141,0.00021422993827159998,15.0,428.59999999999997,1
5,CL,1,64,15,21761091.0,14623.462896,0.0017470064807499,0.00021100270061728,15.0,429.5899999999999,2
6,CL,2,128,100,22933164.0,27152.8407904,0.43334053877441,0.00050814814814815,27.0,515.01,0
7,CL,2,128,100,22948459.0,27170.9501536,0.43328675666641,0.00050653819444444,27.0,521.6500000000001,1
8,CL,2,128,100,22939009.0,27159.7596576,0.43344446855195,0.00051051851851852,27.0,518.77,2
9,CL,3,128,27,22332002.0,26441.0479168,0.0018111725871166,0.00023556597222222002,27.0,461.55,0
10,CL,3,128,27,22334823.0,26444.3869792,0.0018071076382037,0.0002358236882716,27.0,461.46000000000004,1
11,CL,3,128,27,22336356.0,26446.2051744,0.0017900903782515,0.00023710339506173,27.0,462.30999999999995,2
12,CL,4,256,100,22336572.0,49319.0402304,0.25182594541106,0.0005649706790123501,50.0,564.11,0
13,CL,4,256,100,22339881.0,49326.3508448,0.25216905518747,0.00056265393518519,50.0,570.9200000000001,1
14,CL,4,256,100,22337090.0,49320.1888704,0.25201017144191,0.0005628892746913601,50.0,567.6500000000001,2
15,CL,5,256,50,22138554.0,48881.7837792,0.0012216975105621,0.00031186342592593,50.0,524.61,0
16,CL,5,256,50,22138743.0,48882.200544,0.0012624055922302,0.00029884567901235,50.0,518.42,1
17,CL,5,256,50,22139956.0,48884.8820256,0.0012270991443084,0.0003095887345679,50.0,523.55,2
18,CL,6,512,100,17540372.0,74651.4740352,0.034761564399029,0.0064312334104938,76.0,584.59,0
19,CL,6,512,100,17634737.0,75053.0867488,0.027767420680158,0.0070105960648148,76.0,592.6899999999999,1
20,CL,6,512,100,17628087.0,75024.8062912,0.028052752236874,0.0065050324074073995,76.0,586.59,2
21,CL,7,512,76,17401386.0,74059.9594336,0.00048376179124132,0.00045025424382716,75.0,588.39,0
22,CL,7,512,76,17403669.0,74069.6519328,0.00046528868315576,0.00045128395061728,75.0,583.9899999999999,1
23,CL,7,512,76,17403839.0,74070.3879488,0.00051072398621055,0.00044401967592593,75.0,587.0200000000001,2
24,CL,8,512,73,16719470.0,71157.71224,0.00040698236165237,0.00044824151234568,72.0,577.81,0
25,CL,8,512,73,16721812.0,71167.6808768,0.00040689549782102,0.00044867361111111003,72.0,583.58,1
26,CL,8,512,73,16723457.0,71174.6814016,0.00039529420281947,0.00044527237654321,72.0,579.55,2
27,CL,9,512,70,16005306.0,68118.2452,0.00040008837780581,0.00044477777777778,70.0,579.01,0
28,CL,9,512,70,16089340.0,68475.894288,0.00040482467764513,0.00044393634259259,70.0,572.1199999999999,1
29,CL,9,512,70,16086582.0,68464.1498176,0.00054629356115365,0.00044662577160493996,70.0,578.4200000000001,2
30,CL,10,512,72,16500989.0,70227.8733664,0.0003933610106811,0.00044672530864198,71.0,576.13,0
31,CL,10,512,72,16506484.0,70251.2567872,0.00039441657286476,0.00046217669753086,72.0,585.22,1
32,CL,10,512,72,16504067.0,70240.9412864,0.00040071023830468,0.00045357716049382996,71.0,576.8100000000001,2
33,CL,11,1024,100,9134478.0,76290.5907744,0.18396198666143,0.0071801477623457,75.0,589.24,0
34,CL,11,1024,100,9137886.0,76319.0164896,0.1794436025311,0.0079425,76.0,581.2,1
35,CL,11,1024,100,9151336.0,76431.3539808,0.18043184594985,0.0078143900462963,79.0,590.63,2
36,CL,12,1024,76,8902037.0,74349.0636192,7.2921808490056e-05,0.0007708225308641999,76.0,576.4,0
37,CL,12,1024,76,8905758.0,74380.1392672,7.6585030272969e-05,0.00076832407407407,76.0,585.09,1
38,CL,12,1024,76,8903012.0,74357.2284672,8.2605663172419e-05,0.00077246604938272,76.0,575.18,2
39,CL,13,1024,77,8998485.0,75154.5912608,7.700703330904e-05,0.00078058719135802,76.0,590.1099999999999,0
40,CL,13,1024,77,8999292.0,75161.3599392,7.2967077714536e-05,0.00076975115740741,76.0,580.3599999999999,1
41,CL,13,1024,77,8998635.0,75155.8604192,7.9105733407747e-05,0.00076709645061728,76.0,583.06,2
