index,build,test_index,SIZE,RATE,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,CL,0,64,100,445.9899999999999,29104894.0,19558.4951712,0.41705453761085,0.002196619212963,19.0,0
1,CL,0,64,100,443.90000000000003,29031315.0,19509.053808,0.41843737081952,0.0022406439043209997,19.0,1
2,CL,0,64,100,446.89,29042500.0,19516.569904,0.41808185145313,0.0021260667438271997,19.0,2
3,CL,1,64,19,436.83000000000004,27725727.0,18631.6983648,0.0014798562482776,0.00019547530864198,19.0,0
4,CL,1,64,19,438.67999999999995,27723953.0,18630.502592,0.0015330980125412,0.00019255748456789999,19.0,1
5,CL,1,64,19,438.77000000000004,27723211.0,18630.0076608,0.001643794630346,0.00019154552469136,19.0,2
6,CL,2,128,100,445.21000000000004,28687535.0,33966.0249408,0.21468565656924,0.0021714382716049,34.0,0
7,CL,2,128,100,443.80999999999995,28682148.0,33959.6375264,0.21502058409156,0.0022207372685185,34.0,1
8,CL,2,128,100,445.84000000000003,28662031.0,33935.8313568,0.21516893441487,0.0022127268518519,34.0,2
9,CL,3,128,34,436.37999999999994,27422658.0,32468.3871648,0.0014899697283072,0.00019821990740741,33.0,0
10,CL,3,128,34,439.14000000000004,27422132.0,32467.7589568,0.0015381161287763,0.00019958603395061998,33.0,1
11,CL,3,128,34,436.68999999999994,27428666.0,32475.4936992,0.001624439296415,0.00020192283950616998,33.0,2
12,CL,4,128,31,434.22999999999996,25587618.0,30295.699376,0.0014490911540955,0.00019355362654320998,31.0,0
13,CL,4,128,31,433.9,25598049.0,30308.0449216,0.001453428985886,0.00019305825617284001,31.0,1
14,CL,4,128,31,437.21999999999997,25597773.0,30307.7237984,0.001407891568182,0.00019348919753086,31.0,2
15,CL,5,128,33,438.47999999999996,26981211.0,31945.7021664,0.0014803370143451,0.0001995100308642,32.0,0
16,CL,5,128,33,437.15,26983055.0,31947.90264,0.0015901927621879,0.00019958796296296,32.0,1
17,CL,5,128,33,437.52,26985115.0,31950.329664,0.0014664485978839,0.0001963024691358,32.0,2
18,CL,6,128,32,436.27,26288320.0,31125.3213664,0.0014603426239158,0.00020003742283950998,31.0,0
19,CL,6,128,32,434.86,26286318.0,31122.9536512,0.001950092102079,0.00019395100308642,31.0,1
20,CL,6,128,32,436.11,26284143.0,31120.3820096,0.001655615474082,0.00019197222222222,31.0,2
21,CL,7,256,100,439.94000000000005,27257496.0,60184.414192,0.0019635735456758,0.00022008063271604998,61.0,0
22,CL,7,256,100,438.13000000000005,27256392.0,60181.9950112,0.0019859081093598,0.00022229398148148,61.0,1
23,CL,7,256,100,439.02,27234737.0,60134.2262976,0.0035855059854374,0.00022421952160494002,61.0,2
24,CL,8,256,61,434.96000000000004,26008588.0,57426.8360064,0.0009752063470716,0.00021128510802469002,58.0,0
25,CL,8,256,61,433.94999999999993,26018691.0,57449.1316032,0.0010330191119632,0.00020872762345679001,58.0,1
26,CL,8,256,61,435.57000000000005,26009114.0,57427.9842912,0.00092059023963309,0.00021225424382716,58.0,2
27,CL,9,256,54,432.34,23953869.0,52889.9613056,0.00084093079754155,0.00020679398148147998,54.0,0
28,CL,9,256,54,433.4,23960279.0,52904.1467808,0.0007821790993674,0.00020632175925926002,54.0,1
29,CL,9,256,54,431.11,23958177.0,52899.5134112,0.00081195209227836,0.00020572878086419998,54.0,2
30,CL,10,256,57,434.51,24978984.0,55153.4508448,0.00083051239814136,0.00020413117283950999,56.0,0
31,CL,10,256,57,432.09000000000003,24980224.0,55156.1652544,0.00078510066663839,0.00020667592592593,56.0,1
32,CL,10,256,57,435.58,24982763.0,55161.8021856,0.00083445491725365,0.00020591589506173,56.0,2
33,CL,11,256,56,431.2800000000001,24574806.0,54261.0312672,0.00088859615179748,0.00020409915123457,55.0,0
34,CL,11,256,56,434.53000000000003,24581620.0,54276.0774976,0.00082770966764312,0.00020719174382715998,55.0,1
35,CL,11,256,56,431.25999999999993,24578248.0,54268.6320064,0.00080303677023452,0.00021011844135802,55.0,2
36,CL,12,256,55,432.37999999999994,24159692.0,53344.447568,0.0010574826095474,0.00020550848765432,54.0,0
37,CL,12,256,55,432.73,24164217.0,53354.45232,0.00084167293012927,0.00020803047839505997,54.0,1
38,CL,12,256,55,433.5899999999999,24165943.0,53358.33456,0.00080625770794229,0.00020852662037037,54.0,2
39,CL,13,512,100,423.60999999999996,17540694.0,74652.827264,2.4833064201091e-05,0.00057320910493827,76.0,0
40,CL,13,512,100,423.21999999999997,17585133.0,74841.9882272,8.710576870985e-05,0.00057304436728395,76.0,1
41,CL,13,512,100,423.41999999999996,17560888.0,74738.7976576,1.776074517823e-05,0.00057338425925926,76.0,2
42,CL,14,512,76,424.10999999999996,17405309.0,74076.6443936,1.2857980127845e-05,0.00025296257716049,75.0,0
43,CL,14,512,76,421.36,17405473.0,74077.3432768,0.00014941341963093,0.00025433217592593,75.0,1
44,CL,14,512,76,423.85999999999996,17407765.0,74087.1061696,1.8497149991248e-05,0.00025615972222222,75.0,2
45,CL,15,512,73,421.0,16719814.0,71159.17544,1.6220012459489e-05,0.00024959760802469,72.0,0
46,CL,15,512,73,422.96000000000004,16721310.0,71165.5621728,1.2917480717078e-05,0.0002534575617284,72.0,1
47,CL,15,512,73,422.15,16720475.0,71162.0019808,1.6261234732529e-05,0.00025404398148148,72.0,2
48,CL,16,512,70,421.55999999999995,16084538.0,68455.457136,2.6496795062836e-05,0.00025465895061728,70.0,0
49,CL,16,512,70,422.23,16084984.0,68457.3382656,0.0002062305840298,0.00025840432098765004,70.0,1
50,CL,16,512,70,420.14,16087433.0,68467.752672,1.1797889081677e-05,0.00025740586419753,70.0,2
51,CL,17,512,72,420.22,16462029.0,70062.0530272,2.4200561276833e-05,0.00024973611111111003,71.0,0
52,CL,17,512,72,421.41999999999996,16501772.0,70231.19552,0.00031983905642463,0.00025046026234568,71.0,1
53,CL,17,512,72,422.43,16507649.0,70256.2124736,2.1104921895554e-05,0.00025199459876543,71.0,2
54,CL,18,512,71,420.43000000000006,16292068.0,69338.6895936,5.2476769086707e-05,0.00024968904320988,71.0,0
55,CL,18,512,71,420.04999999999995,16294944.0,69350.9293024,1.9257135324025e-05,0.00024994907407407,71.0,1
56,CL,18,512,71,422.39,16294501.0,69349.0459584,2.0534112140425e-05,0.00025027700617284,71.0,2
57,CL,19,1024,100,414.18,11565043.0,96590.4934016,3.2519356799154e-05,0.0008748275462963001,98.0,0
58,CL,19,1024,100,416.41,11648512.0,97287.6190528,4.0046428790852e-05,0.0008387635030864199,99.0,1
59,CL,19,1024,100,414.65,11643307.0,97244.1532576,0.00030608216401296,0.0008690135030864199,99.0,2
60,CL,20,1024,98,413.73,11488070.0,95947.6119232,3.563569705245e-05,0.00036017939814815005,98.0,0
61,CL,20,1024,98,412.4,11487604.0,95943.7310976,3.6655558984799e-05,0.00036188348765432,98.0,1
62,CL,20,1024,98,412.88000000000005,11486223.0,95932.1895488,9.8621475646765e-05,0.00037615895061728,98.0,2
63,CL,21,1024,99,413.70000000000005,11593607.0,96829.0643904,3.764001488249e-05,0.00037829205246914,99.0,0
64,CL,21,1024,99,412.96999999999997,11591496.0,96811.4277536,3.3221526061666e-05,0.00041279475308641996,99.0,1
65,CL,21,1024,99,412.85,11595432.0,96844.312256,3.1968461418286e-05,0.00037782330246914,99.0,2
