index,build,test_index,SIZE,RATE,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,DOCA,0,64,100,427.9,17337818.0,11651.0160832,0.65932244865362,0.00089805787037037,11.0,0
1,DOCA,0,64,100,435.25000000000006,17328885.0,11645.0126656,0.65963911435914,0.0,11.0,1
2,DOCA,0,64,100,439.73999999999995,17236548.0,11582.96392,0.6622513875033,179648.5055551,11.0,2
3,DOCA,1,64,11,421.41999999999996,15979556.0,10738.2692928,0.0015046455222849,0.0015452646604938,11.0,0
4,DOCA,1,64,11,429.67999999999995,15980207.0,10738.70736,0.0015666765313267,0.0015583549382716,11.0,1
5,DOCA,1,64,11,436.41,15980988.0,10739.232,0.0015605992440194,0.0015582164351852,11.0,2
6,DOCA,2,128,100,447.53000000000003,17267610.0,20444.8324704,0.64115076295557,0.0,20.0,0
7,DOCA,2,128,100,450.47,17223904.0,20393.0840864,0.64101625953208,0.0,20.0,1
8,DOCA,2,128,100,453.47999999999996,17121012.0,20271.2634496,0.64386623117189,0.00095140509259259,20.0,2
9,DOCA,3,128,20,445.50000000000006,16500046.0,19536.0123392,0.0015414220971905,0.0015499675925926002,20.0,0
10,DOCA,3,128,20,450.45,16501624.0,19537.8813152,0.0015676930292947,0.0015454911265432,20.0,1
11,DOCA,3,128,20,451.09000000000003,16502000.0,19538.3232544,0.0015646489755888,0.0015452268518519,20.0,2
12,DOCA,4,256,100,466.02,17314325.0,38229.9553664,0.5026044418587,0.00094737847222222,38.0,0
13,DOCA,4,256,100,468.1,17363135.0,38337.7276096,0.50023780039312,0.0009252129629629599,39.0,1
14,DOCA,4,256,100,469.75,17336596.0,38279.1313184,0.50711949995912,0.0009403506944444401,39.0,2
15,DOCA,5,256,38,460.23999999999995,16719186.0,36915.8190208,0.0079103242576247,0.0038574822530863997,37.0,0
16,DOCA,5,256,38,460.2,16734173.0,36948.914848,0.0071287642351381,0.0046192797067901,37.0,1
17,DOCA,5,256,38,461.2099999999999,16688977.0,36849.1243136,0.0099190065313753,0.0045936462191358,37.0,2
18,DOCA,6,256,35,460.08000000000004,15491159.0,34204.331872,0.0012657123104812,0.0015960250771604998,35.0,0
19,DOCA,6,256,35,461.35,15492073.0,34206.3566464,0.0012744327767493,0.0015923761574073998,35.0,1
20,DOCA,6,256,35,460.49,15492158.0,34206.5400256,0.0012187173021669,0.0015835902777778,35.0,2
21,DOCA,7,256,37,466.05999999999995,16392852.0,36195.27304,0.0013164246164751,0.0015419413580247002,37.0,0
22,DOCA,7,256,37,465.22999999999996,16396921.0,36204.257504,0.0013117553346864,0.0015412635030864,37.0,1
23,DOCA,7,256,37,466.40999999999997,16394782.0,36199.5354368,0.0013175595412391,0.0015557959104938,37.0,2
24,DOCA,8,512,100,488.09,17295182.0,73607.94224,0.035457528044159,0.0,74.0,0
25,DOCA,8,512,100,491.44,17214462.0,73264.4254176,0.042651084791959,0.0,74.0,1
26,DOCA,8,512,100,490.5,17118314.0,72855.2187552,0.050901489812805,0.0,74.0,2
27,DOCA,9,512,74,482.80000000000007,16874754.0,71818.5856384,0.0043251680851861,0.0044017696759259,73.0,0
28,DOCA,9,512,74,485.14,16869394.0,71795.798272,0.0046753027879549,0.0040994085648148005,73.0,1
29,DOCA,9,512,74,483.23999999999995,16872552.0,71809.2326432,0.004605924478786,0.0041289313271605,73.0,2
30,DOCA,10,512,71,484.82,16292945.0,69342.4136832,0.00025889165544368,0.0015768379629630001,71.0,0
31,DOCA,10,512,71,482.72999999999996,16289302.0,69326.9241664,0.00028541263480275,0.0015558479938272,71.0,1
32,DOCA,10,512,71,482.71999999999997,16292561.0,69340.7875232,0.00030457997682432,0.0015753456790123,71.0,2
33,DOCA,11,512,73,483.53999999999996,16715608.0,71141.2814592,0.00059166526541343,0.0015949375,72.0,0
34,DOCA,11,512,73,485.94,16717689.0,71150.1176352,0.00056133532224412,0.0015852164351852,72.0,1
35,DOCA,11,512,73,483.18999999999994,16717404.0,71148.9240224,0.00052578592422581,0.0015943233024691,72.0,2
36,DOCA,12,512,72,483.76,16502806.0,70235.5947008,0.0003103962743336,0.0015728923611111,71.0,0
37,DOCA,12,512,72,483.79,16504435.0,70242.5383296,0.00030372301924053,0.0015729239969136,71.0,1
38,DOCA,12,512,72,484.86,16505925.0,70248.8772128,0.00031028918877296,0.0015906168981481002,71.0,2
39,DOCA,13,1024,100,486.9799999999999,11108336.0,92776.0760224,0.00020076382237,0.0024586130401235,94.0,0
40,DOCA,13,1024,100,484.94,11102544.0,92727.6850208,0.00018865088555642,0.0024770108024691,94.0,1
41,DOCA,13,1024,100,487.95,11137555.0,93020.1198464,0.00018739380045474,0.0024561165123457,93.0,2
42,DOCA,14,1024,93,478.92999999999995,10892771.0,90975.6883872,0.00018479483363099,0.0019273275462963,93.0,0
43,DOCA,14,1024,93,481.36,10896105.0,91003.5221504,0.00018542637173724,0.0019262858796296,93.0,1
44,DOCA,14,1024,93,478.29999999999995,10896030.0,91002.8976736,0.00018785882361227,0.0019254583333333,93.0,2
45,DOCA,15,1024,94,483.29,10987830.0,91769.6007008,0.00019278524930699,0.0019270219907406999,94.0,0
46,DOCA,15,1024,94,481.42,10990304.0,91790.2771936,0.00019787163588203,0.0019189085648148,94.0,1
47,DOCA,15,1024,94,482.38,10990648.0,91793.1461056,0.0001937180955871,0.0019236257716049,94.0,2
