index,build,test_index,SIZE,RATE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,DPU,0,64,100,7148954.0,4804.096496,0.86317736108595,0.00014076273148148,5.0,0
1,DPU,0,64,100,7350719.0,4939.683172,0.85882693989596,0.00015077584876543,5.0,1
2,DPU,0,64,100,7308474.0,4911.2958912,0.85941585813125,0.00014433526234568,5.0,2
3,DPU,1,64,5,6126385.0,4116.9389952,0.15715501848735,0.0001144212962963,4.0,0
4,DPU,1,64,5,7184828.0,4828.2137288,0.011698535482546,0.00012494483024691,4.0,1
5,DPU,1,64,5,6499625.0,4367.7558048,0.10577487026865,0.00014706404320988,4.0,2
6,DPU,2,64,2,2891303.0,1942.9644576,0.005560229914004,0.0054620370370370005,2.0,0
7,DPU,2,64,2,2901329.0,1949.7026792,0.0023669518830619,3.7951003086420005e-05,2.0,1
8,DPU,2,64,2,2900790.0,1949.3409408,0.002367733426081,3.7449845679012e-05,2.0,2
9,DPU,3,64,4,5801461.0,3898.591412,0.0024869473905889,4.3052469135802e-05,4.0,0
10,DPU,3,64,4,5800865.0,3898.1897672,0.0024960190050508,4.5219907407407e-05,4.0,1
11,DPU,3,64,4,5801179.0,3898.400048,0.002487033421374,4.0426697530864e-05,4.0,2
12,DPU,4,128,100,7316956.0,8663.2703872,0.85586711891134,0.00014982175925926,8.0,0
13,DPU,4,128,100,7294571.0,8636.7631232,0.85631467108915,0.00015238888888889,8.0,1
14,DPU,4,128,100,7313207.0,8658.8292288,0.85593219232129,0.0001498275462963,8.0,2
15,DPU,5,128,8,6513375.0,7711.8000416,0.013691258902975,7.5249228395062e-05,8.0,0
16,DPU,5,128,8,6587974.0,7800.1162408,0.0025265640798264,5.2725694444444e-05,8.0,1
17,DPU,5,128,8,6588802.0,7801.1021568,0.0025275910650746,5.188387345679e-05,8.0,2
18,DPU,6,256,100,6699947.0,14793.4579336,0.8417826629563,0.00029435378086420003,15.0,0
19,DPU,6,256,100,7295515.0,16108.4754528,0.82789242708949,0.00028187191358025,16.0,1
20,DPU,6,256,100,7277555.0,16068.81768,0.82740694691856,0.00028056095679011996,16.0,2
21,DPU,7,256,15,6521551.0,14399.4526944,0.017574690695531,0.00013171527777778,14.0,0
22,DPU,7,256,15,6549687.0,14461.5739112,0.013560604759895,0.0001206350308642,14.0,1
23,DPU,7,256,15,6624428.0,14626.5988704,0.0024153871332796,4.9025848765432e-05,15.0,2
