index,build,test_index,SIZE,RATE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,GPU-POWER,run_index
51,ROI,17,1024,63,7276529.0,60772.8586848,0.01309676867654,0.0017516358024691002,62.0,409.06999999999994,0
52,ROI,17,1024,63,7284087.0,60835.964832,0.012305985507134,0.0017570852623456999,62.0,415.62,1
53,ROI,17,1024,63,7288010.0,60868.7362368,0.011890031921954,0.0017481265432099,62.0,412.8699999999999,2
54,ROI,18,1024,60,7013895.0,58579.319248,0.0015806264020196,0.0010876033950617,60.0,414.27000000000004,0
55,ROI,18,1024,60,7016561.0,58601.5766368,0.0015681497254781,0.0010772010030864001,60.0,408.29,1
56,ROI,18,1024,60,7001525.0,58476.0016896,0.0036912878170982,0.0010925736882716,60.0,412.0,2
57,ROI,19,1024,62,7220767.0,60307.0958336,0.0035268091954053,0.0016313927469136,61.0,410.67999999999995,0
58,ROI,19,1024,62,7225647.0,60347.8761408,0.002981996406945,0.0015517199074073999,61.0,414.94999999999993,1
59,ROI,19,1024,62,7225058.0,60342.9418528,0.0032868229134176,0.0015840015432099,61.0,410.48999999999995,2
60,ROI,20,1024,61,7132769.0,59572.14576,0.0017192175022245,0.0012700320216048999,61.0,410.7699999999999,0
61,ROI,20,1024,61,7132968.0,59573.802048,0.0017421377258516,0.0012970698302469,61.0,412.18000000000006,1
62,ROI,20,1024,61,7134171.0,59583.8578336,0.0016156531926321,0.0012117631172839998,61.0,416.61,2
