index,build,test_index,SIZE,LISTSorQUEUES_PER_CORE,RATE,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,CL,0,64,1,100,425.25,6096486.0,4096.8400512,0.8867177593705,0.0021920960648148,4.0,0
1,CL,0,64,1,100,423.74,6145216.0,4129.5863712,0.88591922534492,0.0021536323302469,4.0,1
2,CL,0,64,1,100,424.03999999999996,6112107.0,4107.3364608,0.88631404183732,0.0021700721450617004,4.0,2
3,CL,1,64,1,4,374.62,5802649.0,3899.3898112,0.0022671895701026,0.0005053063271604901,4.0,0
4,CL,1,64,1,4,382.61999999999995,5802519.0,3899.3007296,0.0022807244753742,0.00050360918209877,4.0,1
5,CL,1,64,1,4,391.67999999999995,5803177.0,3899.7422912,0.0022993348842637,0.00049653742283951,4.0,2
6,CL,2,128,1,100,423.93,6002849.0,7107.3682048,0.88332450120589,0.00218346875,7.0,0
7,CL,2,128,1,100,427.12000000000006,6006964.0,7112.2409056,0.88330059241766,0.0022118368055556,7.0,1
8,CL,2,128,1,100,426.5200000000001,5965074.0,7062.642528,0.88413036261782,0.0021983719135802,7.0,2
9,CL,3,128,1,7,395.30000000000007,5762496.0,6822.7548512,0.0021900924243556,0.00051044791666667,7.0,0
10,CL,3,128,1,7,397.38,5762772.0,6823.0786752,0.0022892333628832,0.00051479398148148,7.0,1
11,CL,3,128,1,7,399.40000000000003,5763460.0,6823.896704,0.0022451929652052,0.0005099112654321,7.0,2
12,CL,4,256,1,100,433.13000000000005,5728351.0,12648.1723104,0.86411795957701,0.0024203097993827,12.0,0
13,CL,4,256,1,100,431.21000000000004,5725366.0,12641.5885152,0.86419649847525,0.0023911022376543003,12.0,1
14,CL,4,256,1,100,431.52,5832860.0,12878.9351136,0.86079653305068,0.002365087962963,13.0,2
15,CL,5,256,1,12,403.61,5303034.0,11708.9580288,0.0020958299108025,0.00054146026234568,12.0,0
16,CL,5,256,1,12,404.19,5303694.0,11710.4110592,0.0021551981616019,0.00053312731481481,12.0,1
17,CL,5,256,1,12,405.54,5302281.0,11707.296288,0.0022626848686793,0.00054402083333333,12.0,2
18,CL,6,512,1,100,442.68999999999994,5299377.0,22554.0748736,0.75789409930983,0.0026089162808642,22.0,0
19,CL,6,512,1,100,444.6500000000001,5311134.0,22604.1077824,0.75709365425357,0.0025856543209877,22.0,1
20,CL,6,512,1,100,442.13,5272938.0,22441.528432,0.75994695754191,0.0025936736111111,22.0,2
21,CL,7,512,1,22,410.59,5038380.0,21442.9965888,0.0020993348735916,0.00057898649691358,22.0,0
