index,build,test_index,SIZE,RATE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,DPU,0,64,100,19667774.0,13216.7487752,0.61144358602813,6.1490740740741e-05,13.0,0
1,DPU,0,64,100,19908446.0,13378.4792096,0.60679199346502,5.9036265432099e-05,13.0,1
2,DPU,0,64,100,20055733.0,13477.4564448,0.6038635978948,5.9827932098764995e-05,13.0,2
3,DPU,1,64,13,18960731.0,12741.6207272,0.0025896949363037,2.7167438271605e-05,13.0,0
4,DPU,1,64,13,18971351.0,12748.7552768,0.0021944950232329,2.3088734567901e-05,13.0,1
5,DPU,1,64,13,18963853.0,12743.718352,0.0024790459413858,2.5236882716049e-05,13.0,2
6,DPU,2,128,100,19355719.0,22917.1492264,0.52688290540311,6.3871527777778e-05,23.0,0
7,DPU,2,128,100,19614871.0,23223.9815552,0.51953795939878,6.0764660493827e-05,23.0,1
8,DPU,2,128,100,19895674.0,23556.4579392,0.51189258489652,6.0005015432099e-05,23.0,2
9,DPU,3,128,23,18850462.0,22318.9072328,0.0082329119233236,2.3449845679012e-05,23.0,0
10,DPU,3,128,23,18965043.0,22454.567328,0.0021823612987097,2.2730324074074e-05,23.0,1
11,DPU,3,128,23,18965551.0,22455.1725992,0.0022285771780568,2.2416666666666997e-05,23.0,2
12,DPU,4,256,100,19335298.0,42692.2524488,0.37809420738349,0.00028511882716049,43.0,0
13,DPU,4,256,100,19896798.0,43932.0272864,0.35449342896059,6.1518518518519e-05,44.0,1
14,DPU,4,256,100,19637348.0,43359.1636712,0.36406619594345,6.2206404320988e-05,44.0,2
15,DPU,5,256,43,18864358.0,41652.36192,0.007552360062935,2.8149305555556e-05,40.0,0
16,DPU,5,256,43,18971836.0,41889.67316,0.0018837685550164,2.3257330246914e-05,42.0,1
17,DPU,5,256,43,18967106.0,41879.2249736,0.0019795758400707,2.3214891975309e-05,42.0,2
18,DPU,6,256,39,17245719.0,38078.4041472,0.0040158290255757,2.2298996913580003e-05,39.0,0
19,DPU,6,256,39,17283603.0,38162.05416,0.0018089711412672,2.2219135802469e-05,39.0,1
20,DPU,6,256,39,17283695.0,38162.2578504,0.0017686402663969,2.2207947530864e-05,39.0,2
21,DPU,7,256,41,17377693.0,38369.8045632,0.044546090208088,2.6172067901235e-05,41.0,0
22,DPU,7,256,41,18157173.0,40090.8924224,0.0018498447654133,2.3575231481481e-05,41.0,1
23,DPU,7,256,41,18156749.0,40089.9606088,0.0017654431467699,2.2315972222222002e-05,41.0,2
24,DPU,8,512,100,18217210.0,77532.0887648,0.0039095103148856,0.00033857638888889,79.0,0
25,DPU,8,512,100,18216787.0,77530.2957216,0.0012394983088145,0.00034290779320988004,79.0,1
26,DPU,8,512,100,18246513.0,77656.8117704,0.0015936843750709,0.00034518827160494,79.0,2
27,DPU,9,512,79,0.0,0.0,1.0,0.0,0.0,0
28,DPU,9,512,79,18035026.0,76756.7161824,0.00721634583113,2.9816358024691e-05,79.0,1
29,DPU,9,512,79,18143094.0,77216.6564616,0.0011789968071036,3.0206018518519e-05,79.0,2
30,DPU,10,512,26,5962569.0,25376.3505696,0.00037397730861199,2.2786265432099e-05,26.0,0
31,DPU,10,512,26,5962700.0,25376.9098336,0.00041241137455417,2.2824845679012e-05,26.0,1
32,DPU,10,512,26,5963847.0,25381.800272,0.00036990944166315,2.2944830246914e-05,26.0,2
33,DPU,11,512,40,9150050.0,38942.2871328,0.0049870426105689,2.2951774691358e-05,40.0,0
34,DPU,11,512,40,9190950.0,39116.335828,0.00046716530548141,2.3285108024690997e-05,40.0,1
35,DPU,11,512,40,9191712.0,39119.5869312,0.00049427711805661,2.3163194444444e-05,40.0,2
36,DPU,12,512,47,10800076.0,45964.7826528,0.00051374155234185,2.4394675925926e-05,47.0,0
37,DPU,12,512,47,10801224.0,45969.666052,0.00047374024876012,2.452237654321e-05,47.0,1
38,DPU,12,512,47,10800281.0,45965.6587584,0.00053198074534344,2.4614969135802e-05,47.0,2
39,DPU,13,512,51,11686748.0,49738.4542976,0.0013254961347337,0.00010846952160494,51.0,0
40,DPU,13,512,51,11701742.0,49802.2718568,0.000547789093717,2.5020833333333e-05,50.0,1
41,DPU,13,512,51,11697254.0,49783.1618272,0.00053107327196245,2.5085648148148e-05,50.0,2
42,DPU,14,512,49,11232143.0,47803.6487008,0.00060127763556395,3.552700617284e-05,49.0,0
43,DPU,14,512,49,11235277.0,47817.0000328,0.00051072775141736,2.4865354938271997e-05,48.0,1
44,DPU,14,512,49,11233009.0,47807.3438496,0.00045818003160647,2.496412037037e-05,48.0,2
45,DPU,15,512,48,11035641.0,46967.3384896,0.00048599733701826,2.487962962963e-05,48.0,0
46,DPU,15,512,48,11037084.0,46973.4807648,0.00050111305127098,2.4907407407407e-05,48.0,1
47,DPU,15,512,48,11035217.0,46965.5500168,0.00053142420700258,2.4771990740741e-05,48.0,2
48,DPU,16,1024,100,11668079.0,97451.049216,3.596006619222e-05,0.00045300154320988004,99.0,0
49,DPU,16,1024,100,11656196.0,97351.8071784,3.8733260582902e-05,0.00050663927469136,99.0,1
50,DPU,16,1024,100,11623413.0,97077.9988864,3.2063562351747e-05,0.00052789660493827,98.0,2
51,DPU,17,1024,98,11120731.0,92879.6444704,0.032112894093644,3.4760802469136e-05,98.0,0
52,DPU,17,1024,98,11487050.0,95939.09394,3.7658380650618e-05,3.4356481481480995e-05,98.0,1
53,DPU,17,1024,98,11490232.0,95965.6708384,4.0702481136967e-05,3.4693672839506e-05,98.0,2
54,DPU,18,1024,99,11592988.0,96823.886416,5.1649243672403e-05,3.5323688271605e-05,99.0,0
55,DPU,18,1024,99,11592225.0,96817.5147688,3.5841703370232e-05,3.5466049382716004e-05,99.0,1
56,DPU,18,1024,99,11585137.0,96758.3206176,0.00075983613242603,4.0663966049383e-05,99.0,2
