index,build,test_index,SIZE,RATE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,GPU-POWER,run_index
0,DOCA,0,64,100,4359917.0,2929.8643488,0.92024223486546,0.0,2.0,419.5,0
1,DOCA,0,64,100,4356892.0,2927.8323648,0.91907270656208,0.0,2.0,419.76,1
2,DOCA,0,64,100,4351361.0,2924.115792,0.91921477083492,0.0,2.0,420.4599999999999,2
3,DOCA,1,64,2,2905832.0,1952.7280544,0.00066401553386408,0.0064891022376543,1.0,383.9599999999999,0
4,DOCA,1,64,2,2906308.0,1953.048336,0.00061511017738092,0.0065064579475309,2.0,392.36,1
5,DOCA,1,64,2,2906242.0,1953.0041184,0.00062893918728879,0.0065015736882716,2.0,394.05999999999995,2
6,DOCA,2,64,1,1452102.0,975.8219136,0.0008116802689857,0.0092628935185185,1.0,397.78999999999996,0
7,DOCA,2,64,1,1452092.0,975.8157984,0.00086201101362193,0.009238845293209902,1.0,400.00999999999993,1
8,DOCA,2,64,1,1452128.0,975.839584,0.00088055109095309,0.0092041111111111,1.0,401.97999999999996,2
9,DOCA,3,128,100,2429725.0,2876.7933344,0.95370157118403,0.0,2.0,416.33000000000004,0
10,DOCA,3,128,100,2430748.0,2878.0043712,0.9536456739053,0.0,2.0,415.77,1
11,DOCA,3,128,100,2430339.0,2877.5202144,0.95363314681436,0.0,2.0,415.36,2
12,DOCA,4,128,2,1647089.0,1950.1126784,0.0012010405865124,0.011649047453704,2.0,400.26,0
13,DOCA,4,128,2,1647397.0,1950.478816,0.0012229185769401,0.011578516975308999,2.0,400.7,1
14,DOCA,4,128,2,1647569.0,1950.6819904,0.0011692648308759,0.01155569367284,2.0,402.08000000000004,2
15,DOCA,5,256,100,1287350.0,2842.4658528,0.97054200262514,0.0,2.0,409.69000000000005,0
16,DOCA,5,256,100,1287965.0,2843.8230624,0.97053736243317,0.0,2.0,412.75,1
17,DOCA,5,256,100,1288651.0,2845.3362496,0.9705374793572,0.0,2.0,410.58,2
18,DOCA,6,256,2,882433.0,1948.2752832,0.0020608292375158,0.021394008487654,2.0,377.04,0
19,DOCA,6,256,2,882843.0,1949.17968,0.001778349052561,0.021310004243827,2.0,387.5799999999999,1
20,DOCA,6,256,2,882818.0,1949.1258528,0.0018561612410196,0.021336271990741,2.0,391.72,2
21,DOCA,7,512,100,663732.0,2824.8355712,0.97111234654559,0.0,2.0,411.33,0
22,DOCA,7,512,100,663733.0,2824.8374144,0.9710524965618,0.0,2.0,409.42,1
23,DOCA,7,512,100,663732.0,2824.8340096,0.97112485701316,0.0,2.0,411.53000000000003,2
24,DOCA,8,512,2,456786.0,1943.7538464,0.0042542820757304,0.041484617283951,2.0,393.79,0
25,DOCA,8,512,2,456793.0,1943.7799968,0.0044217602563784,0.041575500771605,2.0,398.11000000000007,1
26,DOCA,8,512,2,456821.0,1943.8930976,0.0045290972269739,0.041895077160494,1.0,399.67999999999995,2
27,DOCA,9,512,1,227999.0,970.0491392,0.006008005151338,0.058585743827159996,1.0,404.88,0
28,DOCA,9,512,1,227991.0,970.0140672,0.0065439818940248,0.058647855709877,1.0,404.83000000000004,1
29,DOCA,9,512,1,227991.0,970.0165088,0.0065682232028127,0.058527982253085996,1.0,406.11,2
30,DOCA,10,1024,100,336461.0,2810.1052128,0.97128093378152,0.0,2.0,409.53000000000003,0
31,DOCA,10,1024,100,336461.0,2810.1044544,0.97132883328854,0.0,2.0,411.91,1
32,DOCA,10,1024,100,336461.0,2810.1042112,0.97126308540307,0.0,2.0,409.78000000000003,2
33,DOCA,11,1024,2,231986.0,1936.8523776,0.0077651340987975,0.081833700231481,2.0,403.82,0
34,DOCA,11,1024,2,231984.0,1936.8285504,0.0077231637596443,0.081897050925926,2.0,403.17,1
35,DOCA,11,1024,2,231982.0,1936.8079552,0.0078149124885484,0.082158233796296,2.0,402.78000000000003,2
