index,build,test_index,BATCH,RATE,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,ROI,0,32,100,372.99999999999994,4351153.0,5151.7610272,0.90116944190076,0.0074366138117284,5.0,0
1,ROI,0,32,100,363.35999999999996,4209495.0,4984.0389632,0.90441157624776,0.007675388503086401,5.0,1
2,ROI,0,32,100,364.28,4319189.0,5113.9154912,0.9019017357232,0.0074462989969136,5.0,2
3,ROI,1,32,5,356.2200000000001,1671598.0,1979.1667744,0.59494287445261,0.007435325617284,2.0,0
4,ROI,1,32,5,361.27000000000004,1916851.0,2269.5446816,0.53552420853752,0.006727231095679,2.0,1
5,ROI,1,32,5,358.21000000000004,1676034.0,1984.4172512,0.59396123917445,0.0074954710648148,2.0,2
6,ROI,2,32,1,269.65999999999997,822996.0,974.3876416,0.0018849057759349,0.00010569444444444,1.0,0
7,ROI,2,32,1,268.21999999999997,823032.0,974.4313088,0.0018860325537077,0.00010651658950617,1.0,1
8,ROI,2,32,1,267.62,823262.0,974.7035648,0.0019009963985333,0.00010663078703703999,1.0,2
9,ROI,3,32,2,341.54999999999995,1645325.0,1948.025456,0.0023514986263673,8.4378086419753e-05,2.0,0
10,ROI,3,32,2,349.91,1645568.0,1948.313808,0.0023815135909294,8.496296296296301e-05,2.0,1
11,ROI,3,32,2,346.35,1645691.0,1948.4586336,0.0023618630498919,8.410262345679e-05,2.0,2
12,ROI,4,64,100,357.3,5431626.0,6431.0410144,0.87498544206488,0.0080611739969136,6.0,0
13,ROI,4,64,100,352.94000000000005,5394382.0,6386.9440896,0.87608000879701,0.0082456863425926,6.0,1
14,ROI,4,64,100,358.63,5634233.0,6670.927696,0.87050601972389,0.007826650462963,6.0,2
15,ROI,5,64,6,346.65000000000003,4936797.0,5845.1279872,0.0026887496887694,8.649575617284e-05,6.0,0
16,ROI,5,64,6,356.57,4937302.0,5845.725744,0.0027309602503035,9.2442515432099e-05,6.0,1
17,ROI,5,64,6,351.22,4936804.0,5845.136112,0.0027065158149102,0.00014128356481481002,6.0,2
18,ROI,6,128,100,359.48,14586743.0,17270.6881536,0.64556983499917,0.005344613425925899,18.0,0
19,ROI,6,128,100,357.59,14613748.0,17302.6640992,0.64387974982928,0.0043847924382716,18.0,1
20,ROI,6,128,100,360.29,14561607.0,17240.9265568,0.64503438808109,0.0047235482253086,17.0,2
21,ROI,7,128,17,354.91999999999996,13968453.0,16538.6087296,0.0057173383851428,0.00013056597222222002,17.0,0
22,ROI,7,128,17,359.38,13986024.0,16559.4127584,0.0046004021632318,9.3513888888889e-05,17.0,1
23,ROI,7,128,17,354.84999999999997,14017496.0,16596.6745728,0.0021979199541914,6.0412037037037e-05,17.0,2
24,ROI,8,256,100,362.13,34727425.0,41117.2381376,0.009757909774444,9.3950231481481e-05,42.0,0
25,ROI,8,256,100,358.64000000000004,34751092.0,41145.2552352,0.0099390587794912,0.00011625347222222,42.0,1
26,ROI,8,256,100,360.8399999999999,34658386.0,41035.4892928,0.011832155762209,0.00012007407407407,42.0,2
27,ROI,9,256,42,360.79,30932809.0,36624.3970112,0.0033583675367896,8.933950617284e-05,37.0,0
28,ROI,9,256,42,363.96999999999997,30968714.0,36666.9130144,0.0026861222118011,8.020177469135799e-05,37.0,1
29,ROI,9,256,42,359.03000000000003,30934378.0,36626.1708576,0.0027437396686117,8.8748842592593e-05,37.0,2
30,ROI,10,256,31,357.59999999999997,25714540.0,30445.9688832,0.0023077579402698,9.682021604938301e-05,31.0,0
31,ROI,10,256,31,356.45,25726542.0,30460.18592,0.0018875667090007,6.7613040123457e-05,31.0,1
32,ROI,10,256,31,361.53000000000003,25718492.0,30450.6553952,0.002218421127539,8.000231481481499e-05,31.0,2
33,ROI,11,256,35,355.90999999999997,28701929.0,33983.0382272,0.0030941979749384,9.448842592592599e-05,34.0,0
34,ROI,11,256,35,361.07,28730634.0,34017.0249568,0.0021724376490835,7.239699074074101e-05,34.0,1
35,ROI,11,256,35,356.2799999999999,28713808.0,33997.1016544,0.0029950106431359,8.1836033950617e-05,34.0,2
36,ROI,12,256,33,361.04999999999995,27357245.0,32390.928848,0.0022248722983677,7.704899691357999e-05,33.0,0
37,ROI,12,256,33,357.05000000000007,27346466.0,32378.175136,0.0028698925199868,8.9958333333333e-05,33.0,1
38,ROI,12,256,33,361.53,27354180.0,32387.3094016,0.0025827190440177,7.7130015432099e-05,33.0,2
39,ROI,13,256,34,355.22,27908437.0,33043.5497024,0.0027802834728072,7.7702932098765e-05,33.0,0
40,ROI,13,256,34,361.2,27918393.0,33055.3367872,0.0024636100683084,8.6067901234568e-05,33.0,1
41,ROI,13,256,34,359.39,27912427.0,33048.2663136,0.0025820978451536,8.075578703703699e-05,33.0,2
42,ROI,14,512,100,360.93,34885629.0,41304.570848,0.0046664935518517,9.566396604938301e-05,42.0,0
43,ROI,14,512,100,356.03999999999996,34898728.0,41320.0535936,0.0045145143564993,9.647145061728401e-05,42.0,1
44,ROI,14,512,100,360.62999999999994,34864842.0,41279.9394688,0.0046580842159052,9.673881172839501e-05,42.0,2
45,ROI,15,512,42,357.46,30613914.0,36246.8335744,0.0014173233555157,9.664737654321e-05,37.0,0
46,ROI,15,512,42,359.69,30583652.0,36211.0043968,0.0016054669289352,9.750462962963e-05,37.0,1
47,ROI,15,512,42,355.26,30598031.0,36228.0290144,0.0016089649692363,9.6282793209877e-05,37.0,2
48,ROI,16,512,31,352.41,25629066.0,30344.7729152,0.0013736424465242,9.8913580246914e-05,31.0,0
49,ROI,16,512,31,349.5899999999999,25631121.0,30347.2069824,0.0013992188813394,9.924266975308601e-05,31.0,1
50,ROI,16,512,31,353.15000000000003,25620093.0,30334.1472288,0.0016142420386031,9.9850308641975e-05,31.0,2
51,ROI,17,512,35,349.24000000000007,28134512.0,33311.2195488,0.0013352274559556,9.8297839506173e-05,34.0,0
52,ROI,17,512,35,357.06,28118569.0,33292.3431072,0.0015164937946455,9.98125e-05,34.0,1
53,ROI,17,512,35,351.38,28142591.0,33320.7803808,0.0012746982975786,9.8821759259259e-05,34.0,2
54,ROI,18,512,33,357.19000000000005,27021739.0,31993.6924224,0.0015846440038043,9.9197916666667e-05,32.0,0
55,ROI,18,512,33,353.68999999999994,27036722.0,32011.4327744,0.0012172515156316,9.9246527777778e-05,32.0,1
56,ROI,18,512,33,357.64,27034452.0,32008.7452288,0.0015051299392062,9.9072145061728e-05,32.0,2
57,ROI,19,512,32,352.09000000000003,26339013.0,31185.3516032,0.0012542350596626,9.7890046296296e-05,31.0,0
58,ROI,19,512,32,353.62,26331022.0,31175.8901152,0.0015036702472929,9.899035493827201e-05,31.0,1
59,ROI,19,512,32,349.81,26346905.0,31194.695968,0.0013340181562577,9.8615740740741e-05,31.0,2
60,ROI,20,1024,100,350.81,34821497.0,41228.7414368,0.0053171311697829,0.00015675810185185,42.0,0
61,ROI,20,1024,100,352.19,34844676.0,41256.1997664,0.0049774207447302,0.00015668865740741002,42.0,1
62,ROI,20,1024,100,350.4,34836559.0,41246.5539552,0.0050109472170962,0.00015436805555556,42.0,2
63,ROI,21,1024,42,317.84000000000003,29900882.0,35402.5945632,0.0015901594981775,0.00016131712962963,36.0,0
64,ROI,21,1024,42,319.66999999999996,29912138.0,35415.92448,0.0019651972669481,0.0001602974537037,36.0,1
65,ROI,21,1024,42,319.5,29951371.0,35462.3857344,0.0015977005278016,0.00015901967592593,36.0,2
66,ROI,22,1024,29,275.64,23956221.0,28364.1255008,0.0016247619243372,0.00017232561728395,29.0,0
67,ROI,22,1024,29,272.34000000000003,23967804.0,28377.8395584,0.0011572551127285,0.00017356944444443998,29.0,1
68,ROI,22,1024,29,274.3,23959919.0,28368.4960416,0.0016173353481341,0.00017171643518519,29.0,2
69,ROI,23,1024,33,287.27,26644444.0,31546.9739648,0.0014120279374494,0.00016615586419753,32.0,0
70,ROI,23,1024,33,291.33000000000004,26639723.0,31541.3925984,0.001663375738009,0.00016466473765432,32.0,1
71,ROI,23,1024,33,289.45000000000005,26645349.0,31548.05272,0.0014272750704698,0.0001674637345679,32.0,2
72,ROI,24,1024,31,282.21,25434861.0,30114.8301856,0.0016347686555184,0.00016736921296296001,30.0,0
73,ROI,24,1024,31,281.86,25435320.0,30115.3735392,0.0014324738661567,0.00016898533950617,30.0,1
74,ROI,24,1024,31,283.68,25428877.0,30107.7430432,0.0016553975164786,0.00017078125,30.0,2
75,ROI,25,1024,30,279.34999999999997,24591043.0,29115.7524064,0.0015454924499761,0.00016978240740741,29.0,0
76,ROI,25,1024,30,278.68,24600218.0,29126.6181824,0.0013413976979166,0.00016848032407407,29.0,1
77,ROI,25,1024,30,278.28999999999996,24591700.0,29116.5333472,0.0016033085008231,0.00017047145061728,29.0,2
78,ROI,26,2048,100,261.65,34474509.0,41207.4670016,0.01569674398755,0.00028628202160493996,41.0,0
79,ROI,26,2048,100,260.97,34465033.0,41210.0204704,0.016258739921903,0.00028193364197531004,41.0,1
80,ROI,26,2048,100,257.95,34469098.0,41216.1611264,0.01629084669103,0.00028697878086420003,41.0,2
81,ROI,27,2048,41,255.88000000000002,29363680.0,34773.4007136,0.0019104289691523,0.00029313657407406996,35.0,0
