index,build,test_index,BATCH,RATE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,GPU-POWER,run_index
0,CL,0,32,100,8374468.0,9915.361168,0.8035835336197,0.0037112758487654,10.0,422.45,0
1,CL,0,32,100,8375068.0,9916.0735904,0.80361995175778,0.0037235844907407,10.0,428.84,1
2,CL,0,32,100,8335978.0,9869.7883136,0.80470279918166,0.0037249625771605,10.0,433.40999999999997,2
3,CL,1,32,10,3884238.0,4598.9295264,0.53006277511236,0.0035191643518519,4.0,402.08,0
4,CL,1,32,10,3872304.0,4584.7986592,0.5316143931145,0.0035274216820988,4.0,405.01,1
5,CL,1,32,10,3871407.0,4583.73624,0.53169350577117,0.0035177226080247,4.0,406.1099999999999,2
6,CL,2,32,1,824677.0,976.3788288,0.0,5.0727237654321004e-05,1.0,399.55,0
7,CL,2,32,1,824741.0,976.454528,0.0,5.0492283950617004e-05,1.0,400.06,1
8,CL,2,32,1,824836.0,976.5657152,2.1822453728504e-06,5.0829475308642004e-05,1.0,400.41,2
9,CL,3,32,3,2473149.0,2928.168736,0.00092646039814048,5.2315586419753e-05,3.0,402.16999999999996,0
10,CL,3,32,3,2473514.0,2928.5999744,0.00090655049377997,5.2169367283950996e-05,3.0,402.01,1
11,CL,3,32,3,2473538.0,2928.6301216,0.00092683934816939,5.2313271604938e-05,3.0,401.83000000000004,2
12,CL,4,32,4,3293596.0,3899.5746528,0.0012860851217754,5.2917824074073996e-05,3.0,400.87999999999994,0
13,CL,4,32,4,3294649.0,3900.8251968,0.0012804976437867,5.2599922839506e-05,4.0,399.85,1
14,CL,4,32,4,3294454.0,3900.5937952,0.001299011413239,5.1998456790123e-05,4.0,401.81,2
15,CL,5,64,100,10952430.0,12967.6688992,0.74154113905358,0.0041045721450617,13.0,447.75,0
16,CL,5,64,100,10952459.0,12967.6995296,0.7414623964798,0.0041072519290123,13.0,451.27,1
17,CL,5,64,100,10957563.0,12973.7461504,0.74137659148505,0.004108238040123499,13.0,449.14,2
18,CL,6,64,13,10694477.0,12662.2176288,0.0020521217748461,9.301620370370399e-05,12.0,414.13000000000005,0
19,CL,6,64,13,10691062.0,12658.1768,0.0023184227043572,0.00022322685185185,12.0,414.19000000000005,1
20,CL,6,64,13,10645689.0,12604.4550208,0.0066055197057764,0.0018685212191358,12.0,416.12,2
21,CL,7,64,10,8250273.0,9768.2815936,0.0018963825131064,4.7712962962963e-05,10.0,410.61,0
22,CL,7,64,10,8250448.0,9768.488128,0.0019075716430554,4.704050925925899e-05,10.0,409.63,1
23,CL,7,64,10,8250863.0,9768.9813568,0.0018804540922952,4.7092592592593e-05,10.0,412.14,2
24,CL,8,64,12,9896287.0,11717.1610944,0.0019894082240162,4.6493827160494e-05,12.0,412.92999999999995,0
25,CL,8,64,12,9899203.0,11720.6127904,0.0019934214782512,4.7125385802469e-05,12.0,413.79,1
26,CL,8,64,12,9898322.0,11719.5708096,0.0020193074637035,4.8427854938272e-05,12.0,414.32000000000005,2
27,CL,9,128,100,20510845.0,24284.8195968,0.49663822793093,0.0031687546296296,24.0,455.98,0
28,CL,9,128,100,20932532.0,24784.0985824,0.48527121212341,0.0031777337962963,25.0,459.91,1
29,CL,9,128,100,21011114.0,24877.1366624,0.48371773608437,0.0030628016975309,25.0,457.28,2
30,CL,10,128,24,19876383.0,23533.5939616,0.0015885566856172,4.4691743827160005e-05,24.0,433.71000000000004,0
31,CL,10,128,24,19879441.0,23537.2150592,0.001508482830752,4.5364197530863995e-05,24.0,432.91,1
32,CL,10,128,24,19881298.0,23539.4167648,0.0015348490953115,4.5299768518519e-05,24.0,433.51,2
33,CL,11,256,100,23064572.0,27308.4303808,0.4300025794807,0.0021084722222222,27.0,491.52,0
34,CL,11,256,100,23082212.0,27329.317072,0.42911828444109,0.0020810300925926,27.0,496.49000000000007,1
35,CL,11,256,100,23076925.0,27323.0543904,0.42985196404404,0.0020162982253086,27.0,498.10999999999996,2
