index,build,test_index,RATE,SIZE,NTHREADS,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
64,local,28,100.0,1024,4,3,2060.0,17.2067904,0.99982470246835,,1
65,local,29,0.1,1024,4,3,2060.0,17.2076256,0.98582443017003,,0
66,local,29,0.1,1024,4,3,2060.0,17.2084608,0.98582124473561,,1
67,local,30,100.0,64,16,3,2060.0,1.3845888,0.9999630036743,,0
68,local,30,100.0,64,16,3,2060.0,1.3848576,0.99996286980409,,1
69,local,31,0.1,64,16,3,2060.0,1.3848576,0.98582106804346,,0
70,local,31,0.1,64,16,3,2063.0,1.3870528,0.98580556854761,,1
71,local,32,100.0,256,16,3,2004.0,4.424832,0.99995491805273,,0
72,local,32,100.0,256,16,3,2061.0,4.5511296,0.99995364054,,1
73,local,33,0.1,256,16,3,2061.0,4.5511296,0.9858194867166,,0
74,local,33,0.1,256,16,3,2061.0,4.5522336,0.98581792017258,,1
75,local,34,100.0,1024,16,3,2061.0,17.2168128,0.99982459864538,,0
76,local,34,100.0,1024,16,3,2059.0,17.2035264,0.99982472431093,,1
77,local,35,0.1,1024,16,3,2060.0,17.2118016,0.98581918497472,,0
78,local,35,0.1,1024,16,3,2015.0,16.8304,0.98613480993846,,1
79,local,36,100.0,64,1,5,99.0,0.0666624,0.99999821738205,,0
80,local,36,100.0,64,1,5,102.0,0.0688224,0.99999815387314,,1
81,local,37,0.1,64,1,5,102.0,0.0688224,0.99929542916552,,0
82,local,37,0.1,64,1,5,102.0,0.0688128,0.99929542189366,,1
83,local,38,100.0,256,1,5,102.0,0.2259552,0.99999769644853,,0
84,local,38,100.0,256,1,5,102.0,0.2260992,0.99999769678836,,1
85,local,39,0.1,256,1,5,102.0,0.225072,0.99929818139534,,0
86,local,39,0.1,256,1,5,99.0,0.218656,0.99931893605429,,1
87,local,40,100.0,1024,1,5,101.0,0.8468928,0.99999137059004,,0
88,local,40,100.0,1024,1,5,102.0,0.8544864,0.99999128701894,,1
89,local,41,0.1,1024,1,5,102.0,0.852816,0.99929671237119,,0
90,local,41,0.1,1024,1,5,102.0,0.8527392,0.99929752040528,,1
91,local,42,100.0,64,4,5,102.0,0.0688224,0.99999816438412,,0
92,local,42,100.0,64,4,5,102.0,0.0688128,0.99999815724535,,1
93,local,43,0.1,64,4,5,102.0,0.0688128,0.99929539425925,,0
94,local,43,0.1,64,4,5,102.0,0.0691072,0.99929471005014,,1
95,local,44,100.0,256,4,5,102.0,0.2259552,0.99999769644627,,0
96,local,44,100.0,256,4,5,101.0,0.2244096,0.99999771258221,,1
