index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,ZEROCOPY,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
49,local,24,100.0,64,4,256,256,1,true,5891867.0,3959.3360448,0.89014808023142,0.0080978252314815,1
50,local,25,0.1,64,4,256,256,1,true,145354.0,97.6870752,8.8740788843689e-05,0.0011572384259259,0
51,local,25,0.1,64,4,256,256,1,true,145348.0,97.68312,9.6999015563148e-05,0.0011599903549383,1
52,local,26,100.0,256,4,256,256,1,true,5825597.0,12862.9000032,0.86313425759577,0.012225361496914,0
53,local,26,100.0,256,4,256,256,1,true,5835673.0,12885.149088,0.86220857487132,0.016371057098765,1
54,local,27,0.1,256,4,256,256,1,true,145323.0,320.7382272,0.00013210121429919,0.0011588163580247002,0
55,local,27,0.1,256,4,256,256,1,true,145362.0,320.8241664,3.9210830444114e-05,0.001157694058642,1
56,local,28,100.0,1024,4,256,256,1,true,5738083.0,47924.1755488,0.50279159221899,0.012540088348765,0
57,local,28,100.0,1024,4,256,256,1,true,5912845.0,49383.7305312,0.48549088538441,0.012732037422839999,1
58,local,29,0.1,1024,4,256,256,1,true,145336.0,1213.13088,3.7848550744624e-05,0.0011766882716049,0
59,local,29,0.1,1024,4,256,256,1,true,145310.0,1212.9234336,,0.0015648526234568001,1
60,local,30,100.0,64,16,256,256,1,true,5677033.0,3814.9674336,0.89439299879916,0.016009868055556,0
61,local,30,100.0,64,16,256,256,1,true,5687534.0,3822.023264,0.89388888385363,0.013792615354938,1
62,local,31,0.1,64,16,256,256,1,true,145306.0,97.6543392,0.00011491634846761,0.0019667094907407,0
63,local,31,0.1,64,16,256,256,1,true,145368.0,97.6965696,4.8151266515917e-05,0.0049735679012346,1
64,local,32,100.0,256,16,256,256,1,true,5730448.0,12652.802992,0.86587286453807,0.012437331404321,0
65,local,32,100.0,256,16,256,256,1,true,5705815.0,12598.4162976,0.86621612912987,0.011853011574074,1
66,local,33,0.1,256,16,256,256,1,true,145276.0,320.633616,0.00014797226380359,0.0012454050925926,0
67,local,33,0.1,256,16,256,256,1,true,145348.0,320.7940416,0.00013070348744426,0.0012510351080247,1
68,local,34,100.0,1024,16,256,256,1,true,5653596.0,47218.6644128,0.5030349467842,0.012024125,0
69,local,34,100.0,1024,16,256,256,1,true,5657648.0,47252.2643616,0.50162004700813,0.010704132330247,1
70,local,35,0.1,1024,16,256,256,1,true,145319.0,1212.9838848,3.3029666833828e-05,0.0018990860339506,0
71,local,35,0.1,1024,16,256,256,1,true,145317.0,1212.97848,0.00012453977050275,0.0013055470679012,1
72,local,36,100.0,64,1,1024,256,1,true,5228426.0,3513.5034208,0.90315301269836,0.00080467399691358,0
73,local,36,100.0,64,1,1024,256,1,true,5235908.0,3518.5312128,0.90274236374049,0.00084521836419753,1
74,local,37,0.1,64,1,1024,256,1,true,145194.0,97.5793536,0.00092755186859039,0.0011962353395062,0
75,local,37,0.1,64,1,1024,256,1,true,145233.0,97.6062432,0.00097265558362092,0.0011962264660494,1
