index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,LISTS_PER_CORE,MEMPOOL_GPU,PERSISTENT_KERNEL,RX-RATE,LOSE-RATE,run_index
69,local,23,100,512,1,128,256,1,false,true,9.2966531072,0.90139675498723,0
70,local,23,100,512,1,128,256,1,false,true,9.3161074688,0.90120027677854,1
71,local,23,100,512,1,128,256,1,false,true,9.3018472448,0.9013500437141,2
72,local,24,100,1024,1,128,256,1,false,true,10.890743808,0.8868259110811,0
73,local,24,100,1024,1,128,256,1,false,true,10.8739649536,0.88694177681004,1
74,local,24,100,1024,1,128,256,1,false,true,10.8805308416,0.88692526613631,2
75,local,25,100,64,2,128,256,1,false,true,7.9550118912,0.69382333850811,0
76,local,25,100,64,2,128,256,1,false,true,7.9461107712,0.69424928878706,1
77,local,25,100,64,2,128,256,1,false,true,7.950001664,0.69415262693238,2
78,local,26,100,128,2,128,256,1,false,true,11.6454356992,0.7743525078785,0
79,local,26,100,128,2,128,256,1,false,true,11.637914624,0.77458451415315,1
80,local,26,100,128,2,128,256,1,false,true,11.6422626304,0.77447919212774,2
81,local,27,100,256,2,128,256,1,false,true,14.8809633792,0.82758978688527,0
82,local,27,100,256,2,128,256,1,false,true,14.8818436096,0.82888310215744,1
83,local,27,100,256,2,128,256,1,false,true,14.8707487744,0.83029780635792,2
84,local,28,100,512,2,128,256,1,false,true,18.8158951424,0.80043855845073,0
85,local,28,100,512,2,128,256,1,false,true,18.8095168512,0.80053312444514,1
86,local,28,100,512,2,128,256,1,false,true,18.8248436736,0.80036670963037,2
87,local,29,100,1024,2,128,256,1,false,true,20.2441990144,0.78957599193125,0
88,local,29,100,1024,2,128,256,1,false,true,20.257767424,0.7894390960654,1
89,local,29,100,1024,2,128,256,1,false,true,20.265558016,0.78942170296213,2
90,local,30,100,64,4,128,256,1,false,true,10.8292056064,0.58138597788652,0
91,local,30,100,64,4,128,256,1,false,true,10.8922186752,0.578854162615,1
92,local,30,100,64,4,128,256,1,false,true,10.3555813376,0.59997731237935,2
93,local,31,100,128,4,128,256,1,false,true,14.3975088128,0.71934222499758,0
94,local,31,100,128,4,128,256,1,false,true,13.581330944,0.7365878476694,1
95,local,31,100,128,4,128,256,1,false,true,14.2973111296,0.72213813592458,2
96,local,32,100,256,4,128,256,1,false,true,26.4943849472,0.66427040997792,0
97,local,32,100,256,4,128,256,1,false,true,26.5297788928,0.66480863503064,1
98,local,32,100,256,4,128,256,1,false,true,26.4492279808,0.66174014463621,2
99,local,33,100,512,4,128,256,1,false,true,31.2385953792,0.6679199457801,0
100,local,33,100,512,4,128,256,1,false,true,31.2265125888,0.66804323393089,1
101,local,33,100,512,4,128,256,1,false,true,31.2836329472,0.66753347199473,2
102,local,34,100,1024,4,128,256,1,false,true,33.793327104,0.64875804060254,0
103,local,34,100,1024,4,128,256,1,false,true,33.2067053568,0.65478698599605,1
104,local,34,100,1024,4,128,256,1,false,true,33.8453528576,0.64812815831998,2
105,local,35,100,64,8,128,256,1,false,true,19.4931443712,0.21446373146805,0
106,local,35,100,64,8,128,256,1,false,true,19.4925657088,0.21189419157421,1
107,local,35,100,64,8,128,256,1,false,true,19.510842112,0.21693219590671,2
108,local,36,100,128,8,128,256,1,false,true,27.5959593984,0.39705196008975,0
109,local,36,100,128,8,128,256,1,false,true,27.7450323968,0.3924228763038,1
110,local,36,100,128,8,128,256,1,false,true,27.6767448064,0.3942692006443,2
111,local,37,100,256,8,128,256,1,false,true,25.830423552,0.6778634750256,0
112,local,37,100,256,8,128,256,1,false,true,26.1388111872,0.67444469757862,1
113,local,37,100,256,8,128,256,1,false,true,25.7893289984,0.67739829067266,2
114,local,38,100,512,8,128,256,1,false,true,32.9491357696,0.64906759701141,0
115,local,38,100,512,8,128,256,1,false,true,32.9383698432,0.64886964662658,1
116,local,38,100,512,8,128,256,1,false,true,32.914477056,0.64787559847866,2
117,local,39,100,1024,8,128,256,1,false,true,35.1997837312,0.63420500066449,0
118,local,39,100,1024,8,128,256,1,false,true,35.0577385472,0.63566827036137,1
119,local,39,100,1024,8,128,256,1,false,true,35.5999932416,0.6300542343934,2
120,local,40,100,64,1,256,256,1,false,true,5.9138588672,0.77714166954325,0
121,local,40,100,64,1,256,256,1,false,true,5.9234131968,0.7767776869097,1
122,local,40,100,64,1,256,256,1,false,true,5.9104152064,0.77737178059257,2
123,local,41,100,128,1,256,256,1,false,true,8.14418176,0.84358938709339,0
124,local,41,100,128,1,256,256,1,false,true,8.1320542208,0.84383148184442,1
125,local,41,100,128,1,256,256,1,false,true,8.154631168,0.84336951410786,2
126,local,42,100,256,1,256,256,1,false,true,10.3851436032,0.88491178277179,0
127,local,42,100,256,1,256,256,1,false,true,10.371506176,0.88494211317429,1
128,local,42,100,256,1,256,256,1,false,true,10.4098281472,0.88461445284206,2
129,local,43,100,512,1,256,256,1,false,true,12.2612023296,0.86987889533107,0
130,local,43,100,512,1,256,256,1,false,true,12.2640326656,0.86980822185324,1
131,local,43,100,512,1,256,256,1,false,true,12.2608791552,0.8699026371163,2
132,local,44,100,1024,1,256,256,1,false,true,13.6070275072,0.8585641097307,0
133,local,44,100,1024,1,256,256,1,false,true,13.617885184,0.85846830311495,1
134,local,44,100,1024,1,256,256,1,false,true,13.5963656192,0.85871130793594,2
135,local,45,100,64,2,256,256,1,false,true,11.1173602816,0.57055272141448,0
136,local,45,100,64,2,256,256,1,false,true,11.1245214208,0.5704522031852,1
137,local,45,100,64,2,256,256,1,false,true,11.0963700736,0.57150655641735,2
138,local,46,100,128,2,256,256,1,false,true,15.5476185088,0.69340032871699,0
139,local,46,100,128,2,256,256,1,false,true,15.6361558016,0.691663936446,1
140,local,46,100,128,2,256,256,1,false,true,15.6261633024,0.69213032836802,2
141,local,47,100,256,2,256,256,1,false,true,20.1547636736,0.75928299705898,0
142,local,47,100,256,2,256,256,1,false,true,19.9358816256,0.75620557131259,1
143,local,47,100,256,2,256,256,1,false,true,20.2175440896,0.76054001146573,2
144,local,48,100,512,2,256,256,1,false,true,24.0251326464,0.74137303532719,0
145,local,48,100,512,2,256,256,1,false,true,23.8565531648,0.74475786343984,1
146,local,48,100,512,2,256,256,1,false,true,23.9451836416,0.74335947787921,2
147,local,49,100,1024,2,256,256,1,false,true,27.0978105344,0.71821588468857,0
148,local,49,100,1024,2,256,256,1,false,true,27.0069547008,0.71926791008068,1
149,local,49,100,1024,2,256,256,1,false,true,27.106648064,0.71810870064198,2
150,local,50,100,64,4,256,256,1,false,true,17.1514436608,0.31266920132531,0
151,local,50,100,64,4,256,256,1,false,true,17.0756310016,0.31640783825318,1
152,local,50,100,64,4,256,256,1,false,true,17.089543936,0.31646934344312,2
153,local,51,100,128,4,256,256,1,false,true,23.5421205504,0.50327874005935,0
154,local,51,100,128,4,256,256,1,false,true,23.6543034368,0.50074405864742,1
155,local,51,100,128,4,256,256,1,false,true,23.6103211008,0.50166086645909,2
156,local,52,100,256,4,256,256,1,false,true,26.8264804352,0.66102137717775,0
157,local,52,100,256,4,256,256,1,false,true,27.8526308352,0.6492441290158,1
158,local,52,100,256,4,256,256,1,false,true,27.4792271872,0.64663832945277,2
159,local,53,100,512,4,256,256,1,false,true,30.8710371328,0.66405100658184,0
160,local,53,100,512,4,256,256,1,false,true,31.7078515712,0.65260789860174,1
161,local,53,100,512,4,256,256,1,false,true,31.4665558016,0.65662365991126,2
162,local,54,100,1024,4,256,256,1,false,true,37.051629568,0.61380864812218,0
163,local,54,100,1024,4,256,256,1,false,true,37.3200379904,0.61098895898523,1
164,local,54,100,1024,4,256,256,1,false,true,36.6160830464,0.61849398979972,2
165,local,55,100,64,8,256,256,1,false,true,14.0720175104,0.46079411641363,0
166,local,55,100,64,8,256,256,1,false,true,2.3121886208,0.9184333489952,1
167,local,55,100,64,8,256,256,1,false,true,13.728246016,0.47340440495601,2
168,local,56,100,128,8,256,256,1,false,true,29.0683472896,0.35651547987863,0
169,local,56,100,128,8,256,256,1,false,true,29.17351936,0.353144475331,1
170,local,56,100,128,8,256,256,1,false,true,29.112769024,0.3544210287301,2
171,local,57,100,256,8,256,256,1,false,true,36.968810496,0.4960181454471,0
172,local,57,100,256,8,256,256,1,false,true,37.2370837504,0.48194045388807,1
173,local,57,100,256,8,256,256,1,false,true,32.4664154112,0.56801579667121,2
