index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,ZEROCOPY,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
47,local,22,100.0,1024,16,1024,256,1,true,0,11222534.0,93729.8362208,0.00038176438207793,0.0014942889660494,1
48,local,23,0.1,1024,16,1024,256,1,true,0,145293.0,1212.778032,0.00011355073136998,0.0016472453703704,0
49,local,23,0.1,1024,16,1024,256,1,true,0,145346.0,1213.2128064,2.0639891681884e-05,0.0015828784722222,1
50,local,24,100.0,64,1,64,256,4,true,0,4770695.0,3205.9062944,0.90954153479338,0.00055550617283951,0
51,local,24,100.0,64,1,64,256,4,true,0,4739121.0,3184.6906336,0.91005770023294,0.00055145293209877,1
52,local,25,0.1,64,1,64,256,4,true,0,145156.0,97.5541632,0.0014556160915745,0.00098511766975309,0
53,local,25,0.1,64,1,64,256,4,true,0,145130.0,97.5370272,0.0014606816560263,0.00099916589506173,1
54,local,26,100.0,1024,1,64,256,4,true,0,4922550.0,41112.813664,0.58109359507112,0.00095888348765432,0
55,local,26,100.0,1024,1,64,256,4,true,0,4914628.0,41046.6599584,0.58187567627048,0.00095740895061728,1
56,local,27,0.1,1024,1,64,256,4,true,0,145103.0,1211.1903936,0.0015097466047904,0.0012701358024691,0
57,local,27,0.1,1024,1,64,256,4,true,0,145116.0,1211.2909344,0.0014718197099985,0.0012723576388889001,1
58,local,28,100.0,64,4,64,256,4,true,0,17665684.0,11871.3434976,0.65186661973174,0.00049400540123457,0
59,local,28,100.0,64,4,64,256,4,true,0,17713629.0,11903.5613472,0.65108011280973,0.00049461304012346,1
60,local,29,0.1,64,4,64,256,4,true,0,145336.0,97.6751904,2.0641723667003e-06,0.0008545810185185199,0
61,local,29,0.1,64,4,64,256,4,true,0,145353.0,97.6864032,1.3759397668567e-05,0.0007513526234567899,1
62,local,30,100.0,1024,4,64,256,4,true,0,11263564.0,94072.524832,0.00032312361406395,0.00057589583333333,0
63,local,30,100.0,1024,4,64,256,4,true,0,11330478.0,94631.3994112,0.00030132627500001,0.00057300462962963,1
64,local,31,0.1,1024,4,64,256,4,true,0,145325.0,1213.0365024,3.3716300042008e-05,0.0011840605709877,0
65,local,31,0.1,1024,4,64,256,4,true,0,145356.0,1213.2954144,4.0588240554862e-05,0.0012164448302469,1
66,local,32,100.0,64,16,64,256,4,true,0,26574762.0,17858.2457472,0.47127281165568,0.0012942033179012,0
67,local,32,100.0,64,16,64,256,4,true,0,26763776.0,17985.2600352,0.46568560221913,0.0012723464506173,1
68,local,33,0.1,64,16,64,256,4,true,0,145326.0,97.6682592,0.00015548803980492,0.0015090397376543,0
69,local,33,0.1,64,16,64,256,4,true,0,145322.0,97.6655904,5.7111244447183e-05,0.0011949513888889001,1
70,local,34,100.0,1024,16,64,256,4,true,0,11237817.0,93857.5070368,0.0001498642898069,0.0005969502314814801,0
71,local,34,100.0,1024,16,64,256,4,true,0,11243375.0,93903.9295776,0.00017080919727852,0.00059620061728395,1
72,local,35,0.1,1024,16,64,256,4,true,0,145308.0,1212.903312,0.00014312373046499,0.0014695019290123,0
73,local,35,0.1,1024,16,64,256,4,true,0,145310.0,1212.9139488,0.00013417785102132,0.0014526253858025,1
74,local,36,100.0,64,1,1024,256,4,true,0,5113414.0,3436.2151488,0.90497508620991,0.00069069830246914,0
75,local,36,100.0,64,1,1024,256,4,true,0,5138388.0,3452.9978976,0.9043437286557,0.00068622029320988,1
76,local,37,0.1,64,1,1024,256,4,true,0,145217.0,97.595424,0.00090677986508381,0.0011780289351852,0
77,local,37,0.1,64,1,1024,256,4,true,0,145200.0,97.5836544,0.00097150437314575,0.0011756732253086,1
78,local,38,100.0,1024,1,1024,256,4,true,0,4936795.0,41231.8104352,0.56386902888246,0.0011559830246914,0
79,local,38,100.0,1024,1,1024,256,4,true,0,4950661.0,41347.6078368,0.56449052041021,0.0011506832561728,1
80,local,39,0.1,1024,1,1024,256,4,true,0,145175.0,1211.7897696,0.00097235899246262,0.0011908722993827,0
81,local,39,0.1,1024,1,1024,256,4,true,0,145206.0,1212.0514848,0.00084429239077177,0.0011902430555556,1
82,local,40,100.0,64,4,1024,256,4,true,0,19864553.0,13348.9842336,0.61514336851507,0.0005979162808641999,0
83,local,40,100.0,64,4,1024,256,4,true,0,19868864.0,13351.88112,0.61507052293634,0.0005952465277777799,1
84,local,41,0.1,64,4,1024,256,4,true,0,145317.0,97.6624896,0.0001321070314656,0.0011540574845679,0
85,local,41,0.1,64,4,1024,256,4,true,0,145368.0,97.6969728,0.87853477645453,0.0011525474537037001,1
86,local,41,0.1,64,4,1024,256,4,true,0,17651.0,14.6862976,,,2
87,local,42,100.0,1024,4,1024,256,4,true,0,11249438.0,93954.5355328,0.00033259927425855,0.00088582060185185,0
88,local,42,100.0,1024,4,1024,256,4,true,0,11021459.0,92050.4879968,0.00039028592552603,0.00090453047839506,1
89,local,43,0.1,1024,4,1024,256,4,true,0,145343.0,1213.1843328,0.00013208376587326,0.0011634182098765,0
90,local,43,0.1,1024,4,1024,256,4,true,0,145345.0,1213.2157536,6.1229656618589e-05,0.0011669212962963,1
91,local,44,100.0,64,16,1024,256,4,true,0,23059524.0,19017.454272,0.54902761347172,0.0014346774691358,0
92,local,44,100.0,64,16,1024,256,4,true,0,22978710.0,18998.8700288,0.55099462868391,0.0015032546296296,1
93,local,45,0.1,64,16,1024,256,4,true,0,145328.0,97.6699392,0.00013209676087733,0.0012621111111111,0
94,local,45,0.1,64,16,1024,256,4,true,0,145335.0,97.6748544,0.00013828118550319,0.0011685829475309,1
95,local,46,100.0,1024,16,1024,256,4,true,0,10946452.0,91423.9979872,0.00039011119264809,0.0015022214506173,0
96,local,46,100.0,1024,16,1024,256,4,true,0,11229925.0,93791.588576,0.00038371101649581,0.0014764290123457,1
97,local,47,0.1,1024,16,1024,256,4,true,0,145280.0,1212.6581568,0.0001692994101361,0.0012250219907407,0
98,local,47,0.1,1024,16,1024,256,4,true,0,145343.0,1213.1877984,3.9215794195524e-05,0.0017215810185185001,1
99,local,48,100.0,64,1,64,256,16,true,0,4588417.0,3083.4171264,0.9132924211593,0.00057226350308642,0
100,local,48,100.0,64,1,64,256,16,true,0,4621624.0,3105.7321152,0.91231749572783,0.00067669945987654,1
101,local,49,0.1,64,1,64,256,16,true,0,145131.0,97.5375648,0.001499145163898,0.00098490316358025,0
102,local,49,0.1,64,1,64,256,16,true,0,145130.0,97.5369504,0.0014991534152008,0.00097933487654321,1
103,local,50,100.0,1024,1,64,256,16,true,0,4748741.0,39661.199904,0.59593884126677,0.0010148533950617,0
104,local,50,100.0,1024,1,64,256,16,true,0,4764469.0,39792.559632,0.59469050617979,0.0010112260802468999,1
105,local,51,0.1,1024,1,64,256,16,true,0,145109.0,1211.2420992,0.0015117444030365,0.0012465983796296,0
106,local,51,0.1,1024,1,64,256,16,true,0,145123.0,1211.3505184,0.0015109065990015,0.0012756805555556,1
107,local,52,100.0,64,4,64,256,16,true,0,17177905.0,11543.556336,0.66178238015632,0.00055331597222222,0
108,local,52,100.0,64,4,64,256,16,true,0,17330239.0,11645.9244768,0.65892683831532,0.00054789660493827,1
109,local,53,0.1,64,4,64,256,16,true,0,145345.0,97.6811712,2.8895868234846e-05,0.00083212152777778,0
110,local,53,0.1,64,4,64,256,16,true,0,145338.0,97.676256,2.9585310274194e-05,0.00080731520061728,1
111,local,54,100.0,1024,4,64,256,16,true,0,11277859.0,94191.9224224,0.00031121219378816,0.0005794548611111099,0
112,local,54,100.0,1024,4,64,256,16,true,0,11255391.0,94004.2786976,0.0003142661176494,0.00057910030864198,1
113,local,55,0.1,1024,4,64,256,16,true,0,145318.0,1212.985776,3.0965483119982e-05,0.0011908179012346,0
114,local,55,0.1,1024,4,64,256,16,true,0,145343.0,1213.1901792,3.9215821175831e-05,0.0012300582561728,1
115,local,56,100.0,64,16,64,256,16,true,0,26889041.0,18069.44016,0.46396227604735,0.0013870119598765,0
116,local,56,100.0,64,16,64,256,16,true,0,26784976.0,17999.5062656,0.46704635749329,0.001377731867284,1
117,local,57,0.1,64,16,64,256,16,true,0,145340.0,97.6780032,0.00014377937502064,0.0014725273919752998,0
118,local,57,0.1,64,16,64,256,16,true,0,145375.0,97.7010528,0.00012173917828118,0.0015984637345679,1
119,local,58,100.0,1024,16,64,256,16,true,0,11266186.0,94094.4503392,0.0001407909112261,0.0005997025462963001,0
120,local,58,100.0,1024,16,64,256,16,true,0,11261800.0,94057.7968352,0.00013745468687543,0.0006081435185185199,1
121,local,59,0.1,1024,16,64,256,16,true,0,145308.0,1212.9108288,0.00013693087674294,0.0014391921296296,0
122,local,59,0.1,1024,16,64,256,16,true,0,145346.0,1213.2218848,0.00014377383618858,0.001514425154321,1
123,local,60,100.0,64,1,1024,256,16,true,0,5033308.0,3382.383888,0.90669734611533,0.0007271041666666701,0
124,local,60,100.0,64,1,1024,256,16,true,0,5054650.0,3396.7258752,0.90592060313371,0.00073252970679012,1
125,local,61,0.1,64,1,1024,256,16,true,0,145201.0,97.5847392,0.00092818950753659,0.0011821114969136,0
126,local,61,0.1,64,1,1024,256,16,true,0,145220.0,97.5971712,0.00083939717522208,0.0011782974537037,1
127,local,62,100.0,1024,1,1024,256,16,true,0,4819984.0,40256.205424,0.57166254292819,0.0011886979166666999,0
128,local,62,100.0,1024,1,1024,256,16,true,0,4831065.0,40348.7471232,0.57409589762204,0.00118734375,1
129,local,63,0.1,1024,1,1024,256,16,true,0,145206.0,1212.0506496,0.00088897940760391,0.0011908518518519,0
130,local,63,0.1,1024,1,1024,256,16,true,0,145211.0,1212.099376,0.00098036247956723,0.0011989645061728,1
131,local,64,100.0,64,4,1024,256,16,true,0,19407776.0,13042.0293216,0.62447141197015,0.0006475625,0
132,local,64,100.0,64,4,1024,256,16,true,0,19556328.0,13141.8566784,0.62161782025108,0.0006541026234567899,1
133,local,65,0.1,64,4,1024,256,16,true,0,145312.0,97.6586496,0.00015963097721683,0.0011533993055556,0
