index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,ZEROCOPY,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
50,local,26,100.0,256,4,256,256,1,true,12434170.0,27852.4932288,0.68695952998732,0.00095452700617284,0
51,local,26,100.0,256,4,256,256,1,true,13248641.0,29676.908896,0.6603922270259,0.00088795794753086,1
52,local,27,0.1,256,4,256,256,1,true,145323.0,325.388592,0.00013210121429919,0.0011901064814814999,0
53,local,27,0.1,256,4,256,256,1,true,145349.0,325.4462208,0.00013207785989844,0.0011920570987654,1
54,local,28,100.0,1024,4,256,256,1,true,6006923.0,50361.6541536,0.48402986298451,0.0026612503858025,0
55,local,28,100.0,1024,4,256,256,1,true,5632756.0,47224.6935264,0.51909543545381,0.0023340335648147996,1
56,local,29,0.1,1024,4,256,256,1,true,145290.0,1217.4047712,0.00013281985498548,0.0013002851080247,0
57,local,29,0.1,1024,4,256,256,1,true,145323.0,1217.6736992,0.0001327898809983,0.0012943028549383,1
58,local,30,100.0,128,16,256,256,1,true,41335087.0,50269.9732928,0.0067354582901687,0.0002536824845679,0
59,local,30,100.0,128,16,256,256,1,true,41370608.0,50311.8585536,0.006189128628056,0.00024743788580247,1
60,local,31,0.1,128,16,256,256,1,true,145308.0,176.65632,0.00018302517215374,0.0018943815586420002,0
61,local,31,0.1,128,16,256,256,1,true,145353.0,176.7108384,0.00013964020977675,0.0018193634259258999,1
62,local,32,100.0,256,16,256,256,1,true,29796152.0,66743.226944,0.011264288702445,0.0008066099537036999,0
63,local,32,100.0,256,16,256,256,1,true,29541850.0,66173.599968,0.010908218782878,0.00081638966049383,1
64,local,33,0.1,256,16,256,256,1,true,145287.0,325.308208,0.00015690560132353,0.0019309459876543,0
65,local,33,0.1,256,16,256,256,1,true,145369.0,325.490064,4.0584666837762e-05,0.0011868360339506,1
66,local,34,100.0,1024,16,256,256,1,true,10133310.0,84957.0565728,0.11683715945162,0.0038072033179012,0
67,local,34,100.0,1024,16,256,256,1,true,10138310.0,84998.923072,0.11896979250506,0.0038062280092593,1
68,local,35,0.1,1024,16,256,256,1,true,145296.0,1217.4446176,0.00014451115660541,0.0012743703703704,0
69,local,35,0.1,1024,16,256,256,1,true,145346.0,1217.8650208,0.00015133921446697,0.0022080918209877,1
70,local,36,100.0,128,1,1024,256,1,true,3201503.0,3893.0264576,0.93819495637427,0.00091790856481481,0
71,local,36,100.0,128,1,1024,256,1,true,3174470.0,3860.1533536,0.93870171121718,0.00094210455246914,1
72,local,37,0.1,128,1,1024,256,1,true,145188.0,176.5095328,0.00093239996999805,0.0012019807098765,0
73,local,37,0.1,128,1,1024,256,1,true,145252.0,176.5869504,0.00080278574219506,0.0011994872685185001,1
74,local,38,100.0,256,1,1024,256,1,true,2915902.0,6531.604912,0.9320331097522,0.0012321558641975,0
75,local,38,100.0,256,1,1024,256,1,true,2906788.0,6511.196192,0.93228920234061,0.0012391500771604998,1
76,local,39,0.1,256,1,1024,256,1,true,145212.0,325.142112,0.00097348274286846,0.001299513117284,0
77,local,39,0.1,256,1,1024,256,1,true,145239.0,325.1995968,0.0008894618377534,0.0012962962962963,1
78,local,40,100.0,1024,1,1024,256,1,true,2246874.0,18837.6724288,0.80507313166587,0.0021013560956790003,0
79,local,40,100.0,1024,1,1024,256,1,true,2252244.0,18882.681216,0.80456418770879,0.0020676902006173,1
80,local,41,0.1,1024,1,1024,256,1,true,145181.0,1216.4821344,0.00093450547938134,0.0013735262345679,0
81,local,41,0.1,1024,1,1024,256,1,true,145193.0,1216.5906848,0.00093305662745446,0.0013730432098765,1
82,local,42,100.0,128,4,1024,256,1,true,11641841.0,14156.4691872,0.77220843152266,0.00099792515432099,0
83,local,42,100.0,128,4,1024,256,1,true,11667244.0,14187.3591136,0.77144735237642,0.0010059807098764999,1
84,local,43,0.1,128,4,1024,256,1,true,145311.0,176.658736,0.00013211284914438,0.0011718587962963,0
85,local,43,0.1,128,4,1024,256,1,true,145342.0,176.6972928,0.0001320844019328,0.0011723016975309,1
86,local,44,100.0,256,4,1024,256,1,true,9994369.0,22387.343936,0.75022032481112,0.0012956882716049,0
87,local,44,100.0,256,4,1024,256,1,true,9926686.0,22235.748848,0.75129798760479,0.0012776327160494,1
88,local,45,0.1,256,4,1024,256,1,true,145312.0,325.3622208,3.7160011698512e-05,0.0011858580246914,0
89,local,45,0.1,256,4,1024,256,1,true,145297.0,325.330608,0.00013212521341321,0.0011852700617284,1
90,local,46,100.0,1024,4,1024,256,1,true,5371277.0,45032.43672,0.53262182346761,0.002748513117284,0
91,local,46,100.0,1024,4,1024,256,1,true,5361977.0,44954.4835488,0.53401877006619,0.0027642762345679,1
92,local,47,0.1,1024,4,1024,256,1,true,145303.0,1217.5171168,0.00017202383286985,0.0012916967592593001,0
93,local,47,0.1,1024,4,1024,256,1,true,145323.0,1217.6743392,0.0001327891500944,0.001297494212963,1
94,local,48,100.0,128,16,1024,256,1,true,38017047.0,46415.6560288,0.10934288274393,0.0012085721450617,0
95,local,48,100.0,128,16,1024,256,1,true,38364684.0,46851.3765632,0.097375096465375,0.0012017962962963,1
96,local,49,0.1,128,16,1024,256,1,true,145308.0,176.65624,0.00018440130126773,0.0011824436728395,0
97,local,49,0.1,128,16,1024,256,1,true,145356.0,176.7150528,7.0855048456608e-05,0.0012413445216048998,1
98,local,50,100.0,256,16,1024,256,1,true,29474716.0,66023.220944,0.025523102652362,0.0018466500771604998,0
99,local,50,100.0,256,16,1024,256,1,true,29466306.0,66004.389184,0.022644169429665,0.0018301022376543,1
100,local,51,0.1,256,16,1024,256,1,true,145306.0,325.35032,0.00015963723813817,0.0018808985339506,0
101,local,51,0.1,256,16,1024,256,1,true,145349.0,325.445264,0.00013414166873615,0.00120234375,1
102,local,52,100.0,1024,16,1024,256,1,true,11384603.0,95447.7622592,0.0106586752101,0.0025702291666667002,0
103,local,52,100.0,1024,16,1024,256,1,true,11237055.0,94210.7241056,0.0080733095267393,0.0024142581018519,1
104,local,53,0.1,1024,16,1024,256,1,true,145308.0,1217.556048,9.5649397477637e-05,0.0012773807870369999,0
105,local,53,0.1,1024,16,1024,256,1,true,145313.0,1217.5891008,0.00015756591622174,0.0012921566358024999,1
106,local,54,100.0,128,1,64,256,4,true,3488790.0,4242.3660608,0.93205039933398,0.00072244945987654,0
107,local,54,100.0,128,1,64,256,4,true,3499351.0,4255.2085248,0.93175315143208,,1
108,local,55,0.1,128,1,64,256,4,true,145116.0,176.4219072,0.0015130456321902,0.0010299216820988,0
109,local,55,0.1,128,1,64,256,4,true,145142.0,176.4539776,0.0014598801274678,0.0009880667438271601,1
110,local,56,100.0,256,1,64,256,4,true,3040244.0,6810.137632,0.93160503844171,0.0009422002314814801,0
111,local,56,100.0,256,1,64,256,4,true,3052152.0,6836.812288,0.93134013486213,0.00094362885802469,1
