index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,LISTS_PER_CORE,MEMPOOL_GPU,PERSISTENT_KERNEL,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
45,local,30,100.0,1024,4,64,256,4,true,true,0,10124852.0,84562.1354272,0.13675769721783,0.0020385486111111,1
46,local,31,0.1,1024,4,64,256,4,true,true,0,145338.0,1213.1528928,2.5457127445283e-05,0.0011464768518519,0
47,local,31,0.1,1024,4,64,256,4,true,true,0,145318.0,1212.9822144,3.4405902952006e-05,0.0011232118055556,1
48,local,32,100.0,64,16,64,256,4,true,true,0,,0.0002848,0.99999999820586,,0
49,local,32,100.0,64,16,64,256,4,true,true,0,,,1.0,,1
50,local,33,0.1,64,16,64,256,4,true,true,0,,7.52e-05,0.99999931212098,,0
51,local,33,0.1,64,16,64,256,4,true,true,0,,,1.0,,1
52,local,34,100.0,1024,16,64,256,4,true,true,0,,0.0002848,1.0,,0
53,local,34,100.0,1024,16,64,256,4,true,true,0,,,0.99999999149113,,1
54,local,35,0.1,1024,16,64,256,4,true,true,0,,,1.0,,0
55,local,35,0.1,1024,16,64,256,4,true,true,0,,,1.0,,1
56,local,36,100.0,64,1,1024,256,4,true,true,0,4295466.0,2886.5542336,0.92029531810453,0.00086536265432099,0
57,local,36,100.0,64,1,1024,256,4,true,true,0,4353348.0,2925.4509984,0.91898303730802,0.00082469714506173,1
58,local,37,0.1,64,1,1024,256,4,true,true,0,145213.0,97.592256,0.00083943875950221,0.0018640825617283999,0
59,local,37,0.1,64,1,1024,256,4,true,true,0,145245.0,97.61376,0.00070726807386412,0.0019319058641975,1
60,local,38,100.0,1024,1,1024,256,4,true,true,0,4210586.0,35166.5531616,0.63045870500336,0.0012670408950617,0
61,local,38,100.0,1024,1,1024,256,4,true,true,0,4285072.0,35788.6474944,0.62310164984028,0.0012551350308642,1
62,local,39,0.1,1024,1,1024,256,4,true,true,0,145278.0,1212.6570048,0.00047747475025461,0.0019736022376543,0
63,local,39,0.1,1024,1,1024,256,4,true,true,0,145228.0,1212.2263584,0.00078985463372216,0.0018990709876543,1
