index,build,test_index,SIZE,MEMPOOL_GPU,PERSISTENT_KERNEL,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,GPU-POWER,run_index
49,CL,16,128,false,false,5413553.0,6409.641872,0.87466294625216,0.011718241512346,6.0,377.84999999999997,1
50,CL,16,128,false,false,5413254.0,6409.2879744,0.87460658273674,0.011738482638889,6.0,378.57,2
51,CL,17,256,false,false,3269143.0,7218.2568096,0.92093012325663,0.019361341820988,7.0,377.27,0
52,CL,17,256,false,false,3264584.0,7208.1909792,0.92126077485093,0.019415288966049,7.0,373.81000000000006,1
53,CL,17,256,false,false,3267991.0,7215.7152288,0.92101781595651,0.019435042438272,7.0,381.55,2
54,CL,18,512,false,false,1862357.0,7926.1624,0.91627582314821,0.03359402816358,8.0,374.78999999999996,0
55,CL,18,512,false,false,1861011.0,7920.440192,0.91641164330788,0.034508380401235,8.0,381.14,1
56,CL,18,512,false,false,1862516.0,7926.8447616,0.91631494392571,0.033678901234568,8.0,374.18999999999994,2
57,CL,19,1024,false,false,1039573.0,8682.4363392,0.90982213793721,0.061075984953704,8.0,377.54,0
58,CL,19,1024,false,false,1038151.0,8670.5828544,0.90995293003177,0.060821177083333004,8.0,373.66999999999996,1
59,CL,19,1024,false,false,1039564.0,8682.37392,0.90984243938472,0.061054699074074,8.0,377.74,2
