index,build,test_index,RATE,SIZE,NTHREADS,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
26,CPU version,13,0.1,64,16,0,145220.0,97.5971712,0.00092738340286413,2.8454861111111e-05,0
27,CPU version,13,0.1,64,16,0,145214.0,97.5928704,0.00097141347540375,2.8342206790123e-05,1
28,CPU version,14,100.0,256,16,0,9308848.0,20553.8980448,0.7655021592856,0.00047264313271605,0
29,CPU version,14,100.0,256,16,0,9345888.0,20635.6849056,0.76776195863217,0.00046933487654321,1
30,CPU version,15,0.1,256,16,0,145199.0,320.4661536,0.00093232747469296,2.959799382716e-05,0
31,CPU version,15,0.1,256,16,0,145226.0,320.524224,0.0009273476755769,2.9723379629629998e-05,1
32,CPU version,16,100.0,1024,16,0,9090196.0,75920.7508032,0.22651759648489,0.0007466986882715999,0
33,CPU version,16,100.0,1024,16,0,9075366.0,75796.8725248,0.22767678939731,0.00074708140432099,1
34,CPU version,17,0.1,1024,16,0,145368.0,1213.3982208,,3.3566358024691e-05,0
35,CPU version,17,0.1,1024,16,0,145348.0,1213.2366336,,3.3632330246914e-05,1
36,CPU version,18,100.0,64,1,3,35954.0,24.1619104,0.99935443267482,,0
37,CPU version,18,100.0,64,1,3,35969.0,24.1715904,0.9993534634531,,1
38,CPU version,19,0.1,64,1,3,35908.0,24.1305312,0.75295133454191,0.055458936342592996,0
39,CPU version,19,0.1,64,1,3,35994.0,24.188256,0.75240207354252,,1
40,CPU version,20,100.0,256,1,3,36016.0,79.5239232,0.99918982308707,,0
41,CPU version,20,100.0,256,1,3,36041.0,79.5797088,0.99918936944174,,1
42,CPU version,21,0.1,256,1,3,35924.0,79.3213824,0.75286026707062,,0
43,CPU version,21,0.1,256,1,3,36019.0,79.5309888,0.75217554037616,,1
44,CPU version,22,100.0,1024,1,3,35934.0,300.1196128,0.99694198599144,,0
45,CPU version,22,100.0,1024,1,3,35912.0,299.9405184,0.99694436817972,,1
46,CPU version,23,0.1,1024,1,3,36024.0,300.872832,0.75211982635417,0.056151168981481,0
47,CPU version,23,0.1,1024,1,3,36009.0,300.7476288,0.75225508171683,,1
48,CPU version,24,100.0,64,4,3,36030.0,24.2127072,0.99935328502902,,0
49,CPU version,24,100.0,64,4,3,36040.0,24.2194176,0.99935029498333,,1
50,CPU version,25,0.1,64,4,3,35897.0,24.1229184,0.75309107316778,,0
51,CPU version,25,0.1,64,4,3,35911.0,24.1325952,0.75292676885819,,1
52,CPU version,26,100.0,256,4,3,36011.0,79.5137536,0.99918996188774,,0
53,CPU version,26,100.0,256,4,3,35937.0,79.3491168,0.99919166948773,,1
54,CPU version,27,0.1,256,4,3,35950.0,79.3794432,0.75266727391809,,0
55,CPU version,27,0.1,256,4,3,35996.0,79.479168,0.75234745660095,,1
56,CPU version,28,100.0,1024,4,3,36008.0,300.7440576,0.99693580735574,,0
57,CPU version,28,100.0,1024,4,3,35910.0,299.921616,0.99694445371897,,1
58,CPU version,29,0.1,1024,4,3,35996.0,300.6373824,0.75235543850887,,0
59,CPU version,29,0.1,1024,4,3,35944.0,300.2061888,0.75272219195271,,1
60,CPU version,30,100.0,64,16,3,35892.0,24.1199776,0.99935581075347,,0
61,CPU version,30,100.0,64,16,3,35985.0,24.182064,0.99935219435961,,1
62,CPU version,31,0.1,64,16,3,36039.0,24.2183424,0.75206115777076,0.055701174768519,0
63,CPU version,31,0.1,64,16,3,35992.0,24.1869504,0.75240629351002,,1
64,CPU version,32,100.0,256,16,3,36002.0,79.492272,0.99919013484817,,0
65,CPU version,32,100.0,256,16,3,35933.0,79.3408032,0.99919176713337,,1
66,CPU version,33,0.1,256,16,3,36006.0,79.5012672,0.75232072067362,0.055610039351852,0
67,CPU version,33,0.1,256,16,3,35940.0,79.3562592,0.75277352821405,,1
68,CPU version,34,100.0,1024,16,3,35950.0,300.2551456,0.99694074030669,,0
69,CPU version,34,100.0,1024,16,3,35924.0,300.0384672,0.99694321979243,,1
70,CPU version,35,0.1,1024,16,3,35870.0,299.589888,0.75319660716546,,0
71,CPU version,35,0.1,1024,16,3,35935.0,300.1312288,0.75274192216657,,1
72,CPU version,36,100.0,64,1,5,1744.0,1.171968,0.9999688122506,,0
