index,build,test_index,SIZE,NTHREADS,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index,RX-GOODPUT-GBPS-PKTGEN
60,Local,20,64,16,44964278.0,30216.324768,2.6453633087176e-05,1.4833719135802e-05,0,30.0
61,Local,20,64,16,44982196.0,30228.3418144,5.47653349523e-05,1.4893904320988e-05,1,30.0
62,Local,20,64,16,44974672.0,30223.1857216,1.9986405197847e-05,1.4900462962963e-05,2,30.0
63,Local,21,128,16,38349663.0,45406.5926752,0.0063771120714933,8.256674382715999e-05,0,46.0
64,Local,21,128,16,38344298.0,45401.1468224,0.0060836517591625,8.2273919753086e-05,1,46.0
65,Local,21,128,16,38357447.0,45415.9180192,0.005297550105285,6.9553240740741e-05,2,46.0
66,Local,22,256,16,21582905.0,47654.9573888,0.33285536909014,0.0016657866512346,0,48.0
67,Local,22,256,16,21574004.0,47635.2981568,0.31566164020872,0.0016714205246914,1,48.0
68,Local,22,256,16,21577821.0,47643.7312,0.32156827370711,0.0016708854166666998,2,48.0
69,Local,23,512,16,11382106.0,48442.067536,0.48096936890531,0.0030852160493827,0,49.0
70,Local,23,512,16,11381184.0,48438.1471808,0.48612735903666,0.0030825200617284,1,49.0
71,Local,23,512,16,11379613.0,48431.4607392,0.49008943973606,0.0030795875771605003,2,49.0
72,Local,24,1024,16,6032449.0,50382.6747456,0.48674035267788,0.0058129320987654,0,51.0
73,Local,24,1024,16,6032423.0,50382.4193344,0.48667656202907,0.0057980023148148,1,51.0
74,Local,24,1024,16,6032019.0,50379.0445536,0.48674398502175,0.0058040941358025,2,51.0
