index,build,test_index,SIZE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index,RX-GOODPUT-GBPS-PKTGEN,GPU-POWER
60,ROI,0,64,9087758.0,6106.973712,0.82959910958969,0.0,0,6.0,266.85
61,ROI,0,64,9056684.0,6086.0919168,0.830119750523,0.0,1,6.0,261.28000000000003
62,ROI,0,64,9061929.0,6089.6168928,0.8301417492126,0.0,2,6.0,261.68
63,ROI,1,128,8042088.0,9521.819616,0.84269698052377,0.00053670293209877,0,9.0,257.77000000000004
64,ROI,1,128,8063608.0,9547.3074112,0.84240900836311,0.00054295524691358,1,9.0,261.65
65,ROI,1,128,8031011.0,9508.7114528,0.84306598480554,0.00054028587962963,2,9.0,261.34
66,ROI,2,256,7332874.0,16190.960448,0.81917165578043,0.00075187577160494,0,16.0,260.59999999999997
67,ROI,2,256,7374098.0,16281.9808,0.81802354739067,0.00075716358024691,1,16.0,259.98
68,ROI,2,256,7388560.0,16313.9156736,0.81783864239319,0.0007512839506172799,2,16.0,261.19
69,ROI,3,512,5650978.0,24050.468848,0.73506626195801,0.00093955787037037,0,24.0,352.78999999999996
70,ROI,3,512,5645303.0,24026.32248,0.73501192832813,0.00093978240740741,1,24.0,361.32
71,ROI,3,512,5652062.0,24055.0938624,0.73510586856065,0.00093121296296296,2,24.0,358.1500000000001
72,ROI,4,1024,3953162.0,33016.5334144,0.652026389209,0.0015283981481481002,0,33.0,380.76
73,ROI,4,1024,3965445.0,33119.1213408,0.6509626430667,0.0015263167438272001,1,33.0,377.52
74,ROI,4,1024,3953424.0,33018.6940416,0.6523351884401,0.0015276485339506,2,33.0,379.51
